geometry_id,column_index,eigenvalue
001,0,0.028062287803305663
001,1,0.035962139238866486
001,2,1.9999999999999936
001,3,1.9999999999999984
001,4,2.0000000000000004
001,5,2.0000000000000018
002,0,0.02833739212984887
002,1,0.036121138329846314
002,2,1.999999999999992
002,3,1.999999999999997
002,4,1.9999999999999973
002,5,2.0000000000000027
003,0,0.02860453656779248
003,1,0.036274102666168595
003,2,1.9999999999999958
003,3,1.9999999999999978
003,4,2.000000000000003
003,5,2.000000000000006
004,0,0.028863803128342136
004,1,0.036421153576297716
004,2,1.999999999999999
004,3,1.9999999999999998
004,4,2.000000000000001
004,5,2.0000000000000018
005,0,0.029115282614285753
005,1,0.036562412962494406
005,2,2.0000000000000018
005,3,2.0000000000000036
005,4,2.000000000000005
005,5,2.0000000000000053
006,0,0.029359073803669977
006,1,0.03669800313517824
006,2,1.9999999999999978
006,3,1.9999999999999987
006,4,2.0
006,5,2.000000000000001
007,0,0.029595282675464407
007,1,0.03682804665385353
007,2,1.9999999999999956
007,3,1.9999999999999993
007,4,2.0000000000000004
007,5,2.000000000000001
008,0,0.02982402167637188
008,1,0.03695266617469306
008,2,1.9999999999999967
008,3,1.9999999999999996
008,4,2.0000000000000018
008,5,2.0000000000000036
009,0,0.030045409027340986
009,1,0.037071984305258265
009,2,1.9999999999999942
009,3,1.9999999999999978
009,4,1.9999999999999998
009,5,2.0000000000000004
010,0,0.030259568068861986
010,1,0.03718612346619321
010,2,1.9999999999999933
010,3,1.9999999999999976
010,4,1.9999999999999996
010,5,2.0000000000000004
011,0,0.030466626643558925
011,1,0.03729520576020873
011,2,1.9999999999999976
011,3,2.000000000000004
011,4,2.000000000000005
011,5,2.000000000000009
012,0,0.030666716514919923
012,1,0.037399352848235035
012,2,1.9999999999999973
012,3,1.9999999999999998
012,4,2.0000000000000004
012,5,2.000000000000005
013,0,0.030859972820870718
013,1,0.03749868583264937
013,2,1.999999999999998
013,3,1.9999999999999984
013,4,2.0000000000000027
013,5,2.0000000000000053
014,0,0.031046533560802832
014,1,0.03759332514754909
014,2,1.999999999999996
014,3,1.9999999999999971
014,4,2.0
014,5,2.000000000000002
015,0,0.031226539114833862
015,1,0.0376833904558036
015,2,1.999999999999997
015,3,1.999999999999998
015,4,1.9999999999999996
015,5,2.000000000000005
016,0,0.03140013179388812
016,1,0.03776900055280952
016,2,1.9999999999999971
016,3,1.9999999999999991
016,4,2.0000000000000004
016,5,2.0000000000000067
017,0,0.031567455419399426
017,1,0.03785027327663126
017,2,1.9999999999999938
017,3,1.9999999999999958
017,4,1.9999999999999996
017,5,2.0000000000000013
018,0,0.031728654931192146
018,1,0.037927325424331304
018,2,1.9999999999999976
018,3,2.0000000000000013
018,4,2.000000000000004
018,5,2.0000000000000044
019,0,0.03188387602236875
019,1,0.03800027267418016
019,2,1.9999999999999976
019,3,1.9999999999999993
019,4,2.0000000000000018
019,5,2.000000000000005
020,0,0.0320332647999233
020,1,0.03806922951362579
020,2,1.9999999999999916
020,3,1.999999999999997
020,4,1.9999999999999993
020,5,2.0000000000000018
021,0,0.03217696746984888
021,1,0.0381343091725046
021,2,1.9999999999999982
021,3,1.9999999999999987
021,4,2.0
021,5,2.0000000000000004
022,0,0.03231513004548603
022,1,0.03819562356147399
022,2,1.9999999999999947
022,3,2.0000000000000004
022,4,2.0000000000000013
022,5,2.0000000000000044
023,0,0.03244789807802238
023,1,0.03825328321522958
023,2,1.9999999999999984
023,3,2.0000000000000004
023,4,2.0000000000000013
023,5,2.000000000000005
024,0,0.03257541640793993
024,1,0.038307397240325836
024,2,1.9999999999999984
024,3,1.9999999999999998
024,4,2.0000000000000036
024,5,2.0000000000000093
025,0,0.032697828936435185
025,1,0.03835807326727281
025,2,1.9999999999999956
025,3,1.9999999999999964
025,4,1.999999999999998
025,5,2.000000000000001
026,0,0.032815278415564864
026,1,0.038405417406757625
026,2,1.9999999999999958
026,3,1.9999999999999987
026,4,2.0
026,5,2.0000000000000018
027,0,0.03292790625633213
027,1,0.03844953420964736
027,2,1.9999999999999891
027,3,1.999999999999991
027,4,1.999999999999999
027,5,2.0000000000000018
028,0,0.033035852353403665
028,1,0.03849052663076824
028,2,1.9999999999999951
028,3,1.9999999999999984
028,4,2.0000000000000018
028,5,2.000000000000005
029,0,0.033139254926022765
029,1,0.03852849599584762
029,2,1.999999999999996
029,3,1.9999999999999964
029,4,1.9999999999999998
029,5,2.0000000000000036
030,0,0.033238250373682776
030,1,0.038563541971926796
030,2,1.9999999999999962
030,3,1.9999999999999967
030,4,1.9999999999999976
030,5,2.0000000000000027
