epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
1,0.014449160843314868,14.449160843314868,0.016238152813723906,16.238152813723907,0.02,1,0.06493075001358184,0.0253272603396902
2,0.06267571928645066,62.67571928645066,0.06369340635237952,63.693406352379526,0.02,1,0.07527779416069547,0.062204041973462215
3,0.05104860013380845,51.04860013380845,0.05148679069646143,51.486790696461426,0.02,1,0.10191438470010589,0.09272616891746782
4,0.014910475802607348,14.910475802607348,0.016978430777100866,16.978430777100865,0.02,1,0.13399270373656813,0.12257036149476731
5,0.039022460798505326,39.02246079850533,0.038219084907050345,38.219084907050345,0.02,1,0.15912260377570284,0.14869250270694218
6,0.0460866783032342,46.0866783032342,0.045394684887683154,45.394684887683155,0.02,1,0.1786692333612116,0.16969553348011113
7,0.030688814022880904,30.688814022880905,0.029967920318660864,29.967920318660862,0.02,1,0.19825343113674482,0.19128274851599925
8,0.010065329045157648,10.065329045157648,0.010526449007721863,10.526449007721864,0.02,8,0.21494515935708,0.2102970029599458
9,0.021039339149828976,21.039339149828976,0.021811271795429674,21.811271795429672,0.02,8,0.22821457180667404,0.2256835870671386
10,0.03157647374843922,31.57647374843922,0.0323992182557193,32.3992182557193,0.02,8,0.24339890953766288,0.24338202830930403
11,0.026043687060851736,26.043687060851735,0.02671424880695079,26.714248806950792,0.02,8,0.2639469303663159,0.2670468247457113
12,0.011256627999634844,11.256627999634844,0.012259584890428821,12.25958489042882,0.02,8,0.2882189426717264,0.2947284286922579
13,0.009051207465156362,9.051207465156361,0.009645128587408435,9.645128587408436,0.02,13,0.308847735235695,0.3184546057741506
14,0.015190258935418692,15.190258935418692,0.014460492200367681,14.46049220036768,0.02,13,0.32544286912511833,0.3375360429456537
15,0.017441856035442165,17.441856035442164,0.016709777837354382,16.709777837354384,0.02,13,0.340394353957495,0.35406414017759275
16,0.01371181382096139,13.71181382096139,0.013370978667725778,13.370978667725778,0.02,13,0.355350081048679,0.3696970385190421
17,0.00799593117412865,7.99593117412865,0.00820616637807372,8.206166378073721,0.02,17,0.3705082518949973,0.3846657081272772
18,0.00673486917180917,6.73486917180917,0.007647172821840919,7.647172821840919,0.02,18,0.38322679760641876,0.3966984145956952
19,0.011054755746500833,11.054755746500833,0.011824541826409024,11.824541826409023,0.02,18,0.39397823849522,0.4064687033626046
20,0.011445183794402352,11.445183794402352,0.01226727641956792,12.267276419567919,0.02,18,0.403809295087849,0.41522726907454055
21,0.009242064437495126,9.242064437495127,0.009831569575267434,9.831569575267434,0.02,18,0.41297648159036665,0.4237505048747592
22,0.006563396342934164,6.563396342934164,0.00710639487659808,7.10639487659808,0.02,22,0.4217179252706631,0.43193856655369606
23,0.005556094701097775,5.556094701097774,0.005965546135376221,5.965546135376221,0.02,23,0.42900676632625057,0.4390245291790377
24,0.007179378669868955,7.179378669868955,0.007558639466298395,7.558639466298395,0.02,23,0.4348797062522115,0.444569604127754
25,0.007520053707937561,7.520053707937561,0.007748367545503849,7.748367545503848,0.02,23,0.43913218825373573,0.44844794971226537
26,0.00603913728950139,6.03913728950139,0.006442090317025021,6.442090317025021,0.02,23,0.4420730449663415,0.4506608169911488
27,0.004463041553806305,4.463041553806304,0.004768424239820604,4.768424239820604,0.02,27,0.44427169207199324,0.4517337225454763
28,0.004196135196794892,4.196135196794892,0.004818761176155358,4.818761176155358,0.02,28,0.4460203019604468,0.4521108710793246
29,0.0047718516703071315,4.771851670307131,0.005465130393110062,5.465130393110062,0.02,28,0.44762236449473186,0.45218542731382616
30,0.004761243082542462,4.761243082542462,0.005415685927429468,5.415685927429468,0.02,28,0.4491527238498697,0.4522859446550739
31,0.0040297914768779395,4.029791476877939,0.004592616018089078,4.592616018089078,0.02,31,0.45065163393992996,0.4524255350861073
32,0.0037524663566483115,3.7524663566483114,0.0044179458882706545,4.417945888270655,0.02,32,0.45208080722705163,0.45250531464815164
33,0.004295078409652577,4.295078409652578,0.004799631474841426,4.799631474841426,0.02,32,0.4533365208172835,0.45215237205189424
34,0.004710211818893506,4.710211818893506,0.005273927544771522,5.273927544771522,0.02,32,0.4543054186867909,0.4512543040902639
35,0.004323590140985062,4.323590140985062,0.0050011103436723775,5.001110343672377,0.02,32,0.45486954222726433,0.44956256248330007
36,0.0038386613693195512,3.838661369319551,0.00439260934726714,4.39260934726714,0.02,32,0.45524854848588653,0.44750443136183293
37,0.0034687587944725816,3.4687587944725817,0.004027513687989356,4.027513687989356,0.02,37,0.4555430433018894,0.4452805062743383
38,0.003432021630403217,3.432021630403217,0.003997717350915707,3.9977173509157065,0.02,38,0.45599010876184914,0.44316069685925236
39,0.003323913337333065,3.323913337333065,0.0038705926100630486,3.8705926100630488,0.02,39,0.4566745916437684,0.44136184844502796
40,0.0031159147244368113,3.1159147244368115,0.00361447211684769,3.61447211684769,0.02,40,0.45762284516999036,0.4400863178228431
41,0.002920260394548573,2.9202603945485732,0.0036617581820096636,3.6617581820096636,0.02,41,0.45863909995452695,0.4388583265723646
42,0.0031182827559432915,3.1182827559432913,0.003760648294211542,3.760648294211542,0.02,41,0.45952732803576585,0.43741904743014576
43,0.0033629568898339633,3.3629568898339635,0.0038867403550240298,3.88674035502403,0.02,41,0.46025314299104353,0.43579642271974584
44,0.003287930885123843,3.287930885123843,0.0038165435023938938,3.816543502393894,0.02,41,0.4607851879757931,0.43392607987636694
