epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
17,0.0058599291415191756,5.859929141519175,0.004965380372191431,4.96538037219143,0.02,16,-0.23636257526162324,-0.06426128742077034
18,0.006769983122681273,6.769983122681273,0.005910082005681242,5.910082005681241,0.02,16,-0.24413876376453927,-0.06526624932076504
19,0.005196483949126235,5.196483949126235,0.004171228374180164,4.171228374180164,0.02,19,-0.2505323099033336,-0.06514474434964684
20,0.004519494151280919,4.519494151280919,0.0045264440943655875,4.526444094365588,0.02,20,-0.25696832242305157,-0.06429389186682621
21,0.005548978897179326,5.548978897179326,0.0056599343486034666,5.659934348603467,0.02,20,-0.2628848858092221,-0.06342726646885637
22,0.0034192801607782356,3.4192801607782357,0.0027542061364706568,2.754206136470657,0.02,22,-0.26897387543557144,-0.06264721254239833
23,0.004610453718168665,4.610453718168665,0.003959434261772623,3.959434261772623,0.02,22,-0.27452568162763963,-0.06175087739242646
24,0.004437139788324603,4.437139788324603,0.004441435370048023,4.441435370048023,0.02,22,-0.2800763353674781,-0.0601914092524462
25,0.004199268356587005,4.199268356587004,0.004037994031000092,4.037994031000092,0.02,22,-0.2846524223422953,-0.05906184936344784
26,0.0041023361850339645,4.102336185033964,0.00352083349767181,3.52083349767181,0.02,22,-0.28910456790300515,-0.0579715041924073
27,0.003423665216332352,3.4236652163323518,0.0032690732886237767,3.2690732886237766,0.02,22,-0.29419160581060266,-0.05667371227077244
28,0.004124451564688656,4.124451564688656,0.004108460954132686,4.108460954132686,0.02,22,-0.2989314831758941,-0.05530831254251732
29,0.003127377299139006,3.127377299139006,0.0027666754964246957,2.766675496424696,0.02,29,-0.30300350429982714,-0.05427982192924049
30,0.003575432882640034,3.575432882640034,0.003408056549971272,3.4080565499712723,0.02,29,-0.30707385019015787,-0.053025530251874904
31,0.00406561024904043,4.06561024904043,0.003874284836852245,3.874284836852245,0.02,29,-0.31144370143406375,-0.051485673462728226
32,0.0034300639481851026,3.4300639481851025,0.0030515086140432486,3.051508614043249,0.02,29,-0.31500797614337234,-0.05006319699740439
33,0.003583490595241943,3.583490595241943,0.0031709709546650423,3.170970954665042,0.02,29,-0.3189087742847228,-0.04869211911581759
34,0.004700378035001771,4.700378035001771,0.004585313489602755,4.585313489602755,0.02,29,-0.3235652907415255,-0.04701523647475074
35,0.003933476269614072,3.933476269614072,0.003443404638340758,3.443404638340758,0.02,29,-0.3273627387475106,-0.046892927415451674
36,0.004057669690532132,4.057669690532133,0.0036028116649353477,3.6028116649353477,0.02,29,-0.33126618475169467,-0.047010798253344636
37,0.004251945084137478,4.251945084137478,0.004396749011056311,4.396749011056311,0.02,29,-0.33542155865578627,-0.04683079037029574
38,0.003907825586512681,3.9078255865126805,0.003995102130821254,3.9951021308212544,0.02,29,-0.33954953280961203,-0.04752263247775717
39,0.00491389469437389,4.91389469437389,0.004521494903315156,4.521494903315157,0.02,29,-0.3432927749591358,-0.04897672423046172
40,0.0032324781574764446,3.2324781574764447,0.0029671341687487122,2.967134168748712,0.02,29,-0.34826612709815075,-0.04835992844961513
41,0.0051186206427685675,5.118620642768567,0.005132929912494283,5.132929912494283,0.02,29,-0.35268225162808287,-0.0479831897283591
42,0.0036442635020686952,3.644263502068695,0.00302413312583612,3.02413312583612,0.02,29,-0.3562824888921043,-0.049170557260242484
43,0.0031855652254165904,3.1855652254165903,0.002718085059877838,2.7180850598778377,0.02,29,-0.36070163230838465,-0.04871956004504104
44,0.0034482925644189607,3.448292564418961,0.0033307847886699864,3.330784788669986,0.02,29,-0.36540356953390557,-0.048155289284642154
45,0.002965994931372851,2.9659949313728506,0.00269328407148496,2.69328407148496,0.02,45,-0.3694290282076675,-0.04782980725633841
46,0.003309412637247011,3.309412637247011,0.002883223571285341,2.883223571285341,0.02,45,-0.3735642909498853,-0.048218986544992744
47,0.003113373057559441,3.1133730575594414,0.002831620175372605,2.831620175372605,0.02,45,-0.37769868214958496,-0.048664358918965034
48,0.0032264025996593688,3.2264025996593686,0.0031206456836986012,3.1206456836986014,0.02,45,-0.38186002231903526,-0.04932097892716064
49,0.0029067741435689076,2.9067741435689074,0.002574079844063959,2.574079844063959,0.02,49,-0.385756606318821,-0.05035132961062648
50,0.0030469924593173547,3.0469924593173547,0.0028271045627248194,2.8271045627248195,0.02,49,-0.3903852089534444,-0.05129786613845487
51,0.0030197726666909156,3.0197726666909155,0.002640191944951844,2.6401919449518436,0.02,49,-0.39430831258181415,-0.052157524835739474
52,0.0033928837879061776,3.3928837879061775,0.002884929635613322,2.884929635613322,0.02,49,-0.39812942521532496,-0.05278146860741144
53,0.003438958479668573,3.438958479668573,0.003251592256589658,3.251592256589658,0.02,49,-0.4023915808012909,-0.05298369019123226
54,0.0031030806609070984,3.103080660907098,0.002873163280275559,2.873163280275559,0.02,49,-0.40632738446727473,-0.05322112773352342
55,0.003462506364155771,3.4625063641557707,0.0028806846701296554,2.8806846701296553,0.02,49,-0.4098206602051453,-0.05450110630848576
56,0.002824124197038097,2.8241241970380973,0.0025615099067240726,2.5615099067240727,0.02,56,-0.4138697438588264,-0.054560943094856276
