q_A,s_A,energy_Eh,scf_converged,orbital_gradient_norm_Eh,internal_stable,lowest_internal_stability_eigenvalue_Eh,restricted_stability_corrections,accepted,failure
0.0,0.95546269861,-98.57284734715999,True,7.547511200576789e-13,True,1.9882368754193012,0,True,
0.1,1.05546269861,-98.56213027561877,True,7.519890362682201e-13,True,1.6386321320510495,0,True,
0.2,1.15546269861,-98.53695183949179,True,1.8691806477699487e-13,True,1.3531403584154722,0,True,
0.3,1.25546269861,-98.50439083966518,True,4.8146049124664484e-14,True,1.1211641457858073,0,True,
0.5,1.4554626986099999,-98.43127930597626,True,2.1549645797933434e-12,True,0.7755683979815919,0,True,
0.75,1.7054626986099999,-98.34175739102142,True,5.07262404378814e-13,True,0.48951869927914304,0,True,
1.0,1.9554626986099999,-98.26654956423295,True,7.233011130291887e-15,True,0.30691702384317593,0,True,
1.5,2.45546269861,-98.16849439916098,True,3.1443325943887147e-15,True,0.1187264159083889,0,True,
2.0,2.95546269861,-98.11900081516694,True,2.4393673735868457e-15,True,0.04420213653375384,0,True,
3.0,3.95546269861,-98.0801588518741,True,3.8774024767231037e-16,True,0.005962086981295696,0,True,
4.0,4.95546269861,-98.06512334866397,True,2.7698333942104846e-12,True,0.001712445979336044,0,True,
5.0,5.95546269861,-98.05597694033598,True,2.487408374101905e-13,True,0.0009347079560504296,0,True,
10.955462698609999,11.91092539722,-98.03356206539736,True,4.364043891471753e-12,True,0.00011602703903474781,0,True,
22.86638809583,23.82185079444,-98.02240629464734,True,7.028988242324949e-14,True,1.4461056035486168e-05,0,True,
46.68823889027,47.64370158888,-98.01683506577798,True,3.704421755641852e-15,True,1.8049486655703519e-06,0,True,
94.33194047914999,95.28740317776,-98.01405035108425,True,6.325103088116484e-16,True,2.2544927586597733e-07,0,True,
189.61934365691,190.57480635552,-98.01265812378563,True,2.1138417870406358e-15,True,2.8170529922486212e-08,0,True,
380.19415001243,381.14961271104,-98.01196203083039,True,3.0430624712247016e-14,True,3.5207117233970874e-09,0,True,
761.34376272347,762.29922542208,-98.01161398805168,True,1.348375397601783e-13,True,4.4031998459069534e-10,0,True,
1523.64298814555,1524.59845084416,-98.01143996740291,True,3.062202231015603e-16,True,5.499569496943088e-11,0,True,
3048.24143898971,3049.19690168832,-98.0113529572407,True,7.293499501319229e-12,True,2.2240770714847696e-11,0,True,
6097.43834067803,6098.39380337664,-98.01130945219724,True,1.8213784398466152e-12,True,4.694498258854635e-12,0,True,
12195.83214405467,12196.78760675328,-98.01128769968456,True,4.5457509147349623e-13,True,1.0478689365101603e-12,0,True,
24392.61975080795,24393.57521350656,-98.01127682343048,True,1.1283551457018996e-13,True,2.3375015781334316e-13,0,True,
48786.19496431451,48787.15042701312,-98.011271385304,True,2.7693108099048036e-14,True,5.218189756937489e-14,0,True,
97573.34539132763,97574.30085402624,-98.01126866624085,True,9.328611559870845e-15,True,1.2036538177886361e-14,0,True,
195147.64624535386,195148.60170805248,-98.01126730670931,True,7.541575291001071e-16,True,-3.9050421598110144e-16,0,True,
390296.24795340636,390297.20341610495,-98.01126662694355,True,2.8845099864009886e-16,True,-1.2327989535596716e-15,0,True,
780593.4513695113,780594.4068322099,-98.01126628706072,True,2.643464252725169e-16,True,-7.481359314927449e-15,0,True,
1561187.8582017212,1561188.8136644198,-98.01126611711923,True,7.660650383748621e-16,True,-1.0766349686604737e-14,0,True,
3122376.671866141,3122377.6273288396,-98.01126603214851,True,1.3753961727057997e-15,True,-5.913163399605445e-15,0,True,
