epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
1,0.07208109400805765,72.08109400805765,0.0690972509187494,69.0972509187494,0.02,1,-0.10696134527501203,0.050081102047775675
2,0.04414902479081384,44.14902479081384,0.04437101696701125,44.37101696701125,0.02,2,-0.13695745591317934,0.08368057845203491
3,0.02504029227094137,25.040292270941368,0.025439914873522904,25.439914873522905,0.02,3,-0.1576264911528996,0.11220722876441978
4,0.03883227224185315,38.83227224185315,0.037677149859182836,37.67714985918283,0.02,3,-0.1759766293548762,0.13664178020978768
5,0.024324370541553432,24.32437054155343,0.024569920739555676,24.569920739555677,0.02,5,-0.1986461548959011,0.1634662536497664
6,0.009705604666447605,9.705604666447606,0.009945152166595016,9.945152166595015,0.02,6,-0.22179770517426686,0.1884807738086034
7,0.022253514738283745,22.253514738283744,0.0212790836230926,21.2790836230926,0.02,6,-0.2408504892879136,0.2119906608023913
8,0.02314005696498447,23.14005696498447,0.022474216141935968,22.47421614193597,0.02,6,-0.259217904721476,0.24190140872109134
9,0.016986658465900684,16.986658465900685,0.016191773771185795,16.191773771185794,0.02,6,-0.2771321159006762,0.27548557683015606
10,0.015420563225209906,15.420563225209905,0.015033721026131484,15.033721026131484,0.02,6,-0.2929300726034795,0.3062665942353288
11,0.014922782335969106,14.922782335969107,0.01499534348602254,14.99534348602254,0.02,6,-0.30631635330628165,0.3287697852070379
12,0.013118165913112535,13.118165913112534,0.013058918508960293,13.058918508960293,0.02,6,-0.31821106131484045,0.34417549225067645
13,0.012356631607552687,12.356631607552687,0.012095412454395865,12.095412454395865,0.02,6,-0.3292689723041892,0.3564700836438973
14,0.015324268322031213,15.324268322031212,0.015544904428066822,15.544904428066822,0.02,6,-0.3382661203482004,0.36704641734454546
15,0.015615996149590057,15.615996149590057,0.015885775899617795,15.885775899617794,0.02,6,-0.3450720535501028,0.3790394296735119
16,0.013147467125823258,13.147467125823258,0.013524684323476093,13.524684323476093,0.02,6,-0.3490997156312619,0.3914926798765614
17,0.010048380781121267,10.048380781121267,0.010622397494607869,10.622397494607869,0.02,6,-0.3500327735840881,0.4021751979094274
18,0.009747728996166431,9.747728996166432,0.009990746282853303,9.990746282853303,0.02,6,-0.34963379497397135,0.41051829243250104
19,0.010582452300226301,10.5824523002263,0.0104859866013637,10.485986601363699,0.02,6,-0.3484518330258525,0.41581292808606474
20,0.010125447784000053,10.125447784000054,0.010091029940327987,10.091029940327987,0.02,6,-0.3470022335826393,0.4180098857382698
21,0.010410221390343446,10.410221390343446,0.01069098616325187,10.69098616325187,0.02,6,-0.34508686055884175,0.41724425472340726
22,0.011322058306529178,11.322058306529177,0.011902669804529259,11.902669804529259,0.02,6,-0.3420858199610049,0.4158447018783196
23,0.011477729027994729,11.477729027994728,0.012307435596801825,12.307435596801826,0.02,6,-0.3376491432455063,0.41488177151186983
24,0.010853480385890579,10.85348038589058,0.011530649049627271,11.530649049627272,0.02,6,-0.33179071917045583,0.4150392568988148
25,0.009545745140520916,9.545745140520916,0.010238002048305845,10.238002048305844,0.02,25,-0.3248163837303559,0.41511069352000507
26,0.009145703016808419,9.145703016808419,0.009731681293161458,9.731681293161458,0.02,26,-0.3179867808814842,0.41462095912732017
27,0.009117519848335438,9.117519848335437,0.009713760120794486,9.713760120794486,0.02,27,-0.31117596331144315,0.41325589069301255
28,0.008662116824619284,8.662116824619284,0.009244151700969507,9.244151700969507,0.02,28,-0.305144263135994,0.4106215058434215
29,0.008455129995960622,8.455129995960622,0.009011335282979446,9.011335282979445,0.02,29,-0.29920750491166487,0.40750559646647516
30,0.008964717029685454,8.964717029685454,0.009422641080676225,9.422641080676225,0.02,29,-0.29329906294485963,0.4036463222299903
31,0.00923064079284927,9.23064079284927,0.009792573636451179,9.792573636451179,0.02,29,-0.28699282029749484,0.4004639358150547
32,0.009017860200476372,9.017860200476372,0.009605332619817645,9.605332619817645,0.02,29,-0.2805077186285622,0.39799980282297187
33,0.008321214307141398,8.321214307141398,0.008722602117174112,8.722602117174112,0.02,33,-0.27367544691685997,0.39636046190551844
34,0.0074952927003227475,7.495292700322747,0.008067314504715508,8.067314504715508,0.02,34,-0.2668491405766281,0.3948868685721443
35,0.007199084106588089,7.199084106588089,0.0076677235611240235,7.667723561124023,0.02,35,-0.26029416983020515,0.39322292734249853
36,0.0073439386494931775,7.343938649493177,0.007856851605559404,7.856851605559404,0.02,35,-0.2541978153557003,0.3904416551277789
37,0.007832520768291813,7.832520768291813,0.008278011059516078,8.278011059516079,0.02,35,-0.24827284783478676,0.38747926005219246
38,0.00753668349354051,7.536683493540511,0.007959540754741784,7.959540754741784,0.02,35,-0.2421944606475694,0.38575612357838995
39,0.0073032380303157726,7.3032380303157725,0.00778533180852599,7.7853318085259895,0.02,35,-0.2361803689707591,0.383928380011878
40,0.007134480746010177,7.134480746010177,0.0075745612268848595,7.574561226884859,0.02,40,-0.23026937770729258,0.38246063314550843
41,0.0070509463304102215,7.050946330410222,0.007436711222517737,7.436711222517737,0.02,41,-0.22458496602337094,0.38088080317258854
