molecule,view,FE_width,column_index,train_mean,train_std_ddof0,actual_constant_mask_lt_1e_minus12,requested_constant_mask_le_1e_minus12,active_std_gt_1e_minus12,all30_min,all30_max,train_geometry_ids
N2,Run1_exact,8,5,1.9999999999999976,1.547955102581733e-15,True,True,False,1.999999999999995,2.0000000000000018,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
N2,Run1_exact,8,6,2.0,1.3639636975177234e-15,True,True,False,1.9999999999999971,2.000000000000003,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
N2,Run1_exact,8,7,2.0000000000000027,2.1876371176090438e-15,True,True,False,1.9999999999999996,2.000000000000014,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,0,-1.8959620203082452e-16,2.1956223049242207e-16,True,True,False,-9.079371653503584e-16,2.1886810278126736e-16,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,1,2.0439917569249327e-16,2.0258761022431528e-16,True,True,False,8.199741453334851e-19,5.074685717769857e-16,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,2,0.005923472430443106,0.0003676539989454187,False,False,True,0.0051950521266224126,0.006369782518254485,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,3,1.9999999999999931,2.1413206232596582e-15,True,True,False,1.9999999999999898,1.9999999999999973,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,4,1.9999999999999964,1.500513412242058e-15,True,True,False,1.9999999999999927,2.0,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,5,1.9999999999999991,1.3322676295501878e-15,True,True,False,1.9999999999999964,2.0000000000000027,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,6,2.000000000000001,1.897149936107019e-15,True,True,False,1.9999999999999967,2.0000000000000044,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
CO,Run1_exact,8,7,2.0000000000000027,2.2535066179978845e-15,True,True,False,1.9999999999999993,2.0000000000000067,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
HF,Run1_exact,5,0,0.0015280420348397993,0.00023087172782227834,False,False,True,0.0011198800515978696,0.001880248800040608,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
HF,Run1_exact,5,1,1.9999999999999971,1.4661671005472934e-15,True,True,False,1.999999999999993,2.0,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
HF,Run1_exact,5,2,1.9999999999999993,1.1580429779916288e-15,True,True,False,1.999999999999997,2.000000000000001,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
HF,Run1_exact,5,3,2.0000000000000004,9.472746590555989e-16,True,True,False,1.9999999999999984,2.0000000000000027,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
HF,Run1_exact,5,4,2.000000000000002,1.3902191258184729e-15,True,True,False,2.0000000000000004,2.0000000000000053,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
