molecule,view,full_space_pass_count,geometry_count,full_projector_residual_max,full_eigenvalue_distance_min,full_eigenvalue_distance_max,FE_width,constant_dimensions,active_dimensions,active_column_indices,threshold_boundary_count,loader_status
H2S,saved_6AO_diagnostic,30,30,1.9984014443252818e-14,0.0,1.199040866595169e-14,6,4,2,0 1,0,BLOCKED: saved 6 AOs; loader expects 10
H2S,intended_10AO_diagnostic,30,30,1.9984014443252818e-14,0.0,1.199040866595169e-14,10,9,1,1,0,BLOCKED: saved 6 AOs; loader expects 10
