epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
1,0.07580958295961855,75.80958295961855,0.07394817740137329,73.94817740137329,0.02,1,0.0878712274942721,-0.06454390114443379
2,0.04474963070153645,44.749630701536454,0.04474444534718661,44.744445347186605,0.02,2,0.11265878415765883,-0.09884728897606791
3,0.029502606616651255,29.502606616651256,0.029932845182950734,29.932845182950732,0.02,3,0.1262506135020079,-0.1300491176582346
4,0.04186564492336824,41.865644923368244,0.04203085826794897,42.03085826794897,0.02,3,0.14474884977705163,-0.15141999284021357
5,0.01148227483404124,11.48227483404124,0.011694285132963118,11.694285132963119,0.02,5,0.1721740754972203,-0.1680649300361714
6,0.02184640788721482,21.84640788721482,0.021310000393621926,21.310000393621927,0.02,5,0.19581025978760236,-0.1785960915276069
7,0.025919530263204895,25.919530263204894,0.02455198777134523,24.55198777134523,0.02,5,0.21198483914335461,-0.19568092299482662
8,0.014813041348047921,14.813041348047921,0.014271626389963663,14.271626389963663,0.02,5,0.22144192392493486,-0.2214836632586095
9,0.017473285830434407,17.473285830434406,0.01748009162636879,17.48009162636879,0.02,5,0.22763210567876546,-0.2475835970621821
10,0.021609346078542747,21.609346078542746,0.021443811634403082,21.443811634403083,0.02,5,0.23597866828615913,-0.26767611251179646
11,0.013760432705664523,13.760432705664522,0.01328862463348201,13.28862463348201,0.02,5,0.2488185352335623,-0.2811887031374801
12,0.01086621579424798,10.86621579424798,0.010091014385668924,10.091014385668924,0.02,12,0.2623187102626767,-0.29065992994971185
13,0.01675128611185858,16.75128611185858,0.01653608869889968,16.53608869889968,0.02,12,0.2737042291856132,-0.2978017826903234
14,0.01495668400540008,14.95668400540008,0.015055242880472225,15.055242880472225,0.02,12,0.27951105339193594,-0.307807347719451
15,0.008614414398201568,8.614414398201568,0.008886090520349558,8.886090520349558,0.02,15,0.28136926075532154,-0.31829746822360455
16,0.008824987440949299,8.824987440949299,0.00921010027249288,9.210100272492879,0.02,15,0.2824617938428698,-0.3271589558415676
17,0.011228368232032899,11.2283682320329,0.011620684377994751,11.62068437799475,0.02,15,0.28514117003722217,-0.33327511266805576
18,0.008284445442207381,8.284445442207382,0.008442696268171991,8.442696268171991,0.02,18,0.2905636347874629,-0.33726202313285814
