molecule,R_e_RHF_A,E_RHF_at_Re_Ha,E_FCI_at_Re_Ha,E_corr_at_Re_mHa,FCI_sampled_min_coordinate_A,FCI_sampled_min_relative_to_RHF_Re_mHa,FCI_min_location
LiH,1.510811853032,-7.863382128921103,-7.882303669753793,-18.921540832690376,1.5535771959319271,-19.149213550965882,interior
BeH2,1.290538420998,-15.561352807782086,-15.594409533413865,-33.05672563177886,1.3150092658132018,-33.554304152701775,interior
H2O,0.9894091763852498,-74.96590119229926,-75.02033637389107,-54.435181591813375,1.0243934782007653,-56.865500730992835,interior
NH3,1.0325227135661368,-55.45541977879945,-55.52436591510634,-68.9461363068844,1.0619673242163812,-71.22960931263833,interior
N2,1.133851007494,-107.50065426275157,-107.66834927609966,-167.69501334809434,1.1921868491055345,-176.4880797191779,interior
CO,1.145480675954,-111.22544951413585,-111.36770817301459,-142.25865887874534,1.1908428183853703,-147.1550671964792,interior
HF,0.95546269861,-98.57284734716009,-98.60172857208815,-28.88122492805678,0.9925558785007363,-30.430760157258874,interior
H2S,1.3286558688410872,-394.3116300592765,-394.35343419756254,-41.80413828601104,1.358969652287846,-43.039536975697956,interior
H2O2,1.3962485791325798,-148.76499662127225,-148.87124468364829,-106.24806237603934,1.4611479057677332,-109.8858773420659,interior
