geometry_id,full_AO_dimension,valence_shape,descriptor_qubit_dimension,selected_ao_indices,selected_ao_labels,core_ao_indices,core_ao_labels,raw_FE,saved_raw_FE,status,loader_block_vs_saved_P_L_block,loader_FE_vs_saved_raw_FE,saved_full_P_L_vs_full_AO_Lowdin_transform,loader_block_vs_full_transform_then_selection,loader_block_vs_saved_P_mu_P_munu_reconstruction
011,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.030466626643558925, 0.03729520576020873, 1.9999999999999976, 2.000000000000004, 2.000000000000005, 2.000000000000009]","[0.030466626643558925, 0.03729520576020873, 1.9999999999999976, 2.000000000000004, 2.000000000000005, 2.000000000000009]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
012,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.030666716514919923, 0.037399352848235035, 1.9999999999999973, 1.9999999999999998, 2.0000000000000004, 2.000000000000005]","[0.030666716514919923, 0.037399352848235035, 1.9999999999999973, 1.9999999999999998, 2.0000000000000004, 2.000000000000005]",PASS,0.0,0.0,0.0,0.0,3.3306690738754696e-16
013,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.030859972820870718, 0.03749868583264937, 1.999999999999998, 1.9999999999999984, 2.0000000000000027, 2.0000000000000053]","[0.030859972820870718, 0.03749868583264937, 1.999999999999998, 1.9999999999999984, 2.0000000000000027, 2.0000000000000053]",PASS,0.0,0.0,0.0,0.0,3.3306690738754696e-16
014,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.031046533560802832, 0.03759332514754909, 1.999999999999996, 1.9999999999999971, 2.0, 2.000000000000002]","[0.031046533560802832, 0.03759332514754909, 1.999999999999996, 1.9999999999999971, 2.0, 2.000000000000002]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
015,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.031226539114833862, 0.0376833904558036, 1.999999999999997, 1.999999999999998, 1.9999999999999996, 2.000000000000005]","[0.031226539114833862, 0.0376833904558036, 1.999999999999997, 1.999999999999998, 1.9999999999999996, 2.000000000000005]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
016,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03140013179388812, 0.03776900055280952, 1.9999999999999971, 1.9999999999999991, 2.0000000000000004, 2.0000000000000067]","[0.03140013179388812, 0.03776900055280952, 1.9999999999999971, 1.9999999999999991, 2.0000000000000004, 2.0000000000000067]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
017,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.031567455419399426, 0.03785027327663126, 1.9999999999999938, 1.9999999999999958, 1.9999999999999996, 2.0000000000000013]","[0.031567455419399426, 0.03785027327663126, 1.9999999999999938, 1.9999999999999958, 1.9999999999999996, 2.0000000000000013]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
018,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.031728654931192146, 0.037927325424331304, 1.9999999999999976, 2.0000000000000013, 2.000000000000004, 2.0000000000000044]","[0.031728654931192146, 0.037927325424331304, 1.9999999999999976, 2.0000000000000013, 2.000000000000004, 2.0000000000000044]",PASS,0.0,0.0,0.0,0.0,1.6653345369377348e-16
019,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03188387602236875, 0.03800027267418016, 1.9999999999999976, 1.9999999999999993, 2.0000000000000018, 2.000000000000005]","[0.03188387602236875, 0.03800027267418016, 1.9999999999999976, 1.9999999999999993, 2.0000000000000018, 2.000000000000005]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
020,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.0320332647999233, 0.03806922951362579, 1.9999999999999916, 1.999999999999997, 1.9999999999999993, 2.0000000000000018]","[0.0320332647999233, 0.03806922951362579, 1.9999999999999916, 1.999999999999997, 1.9999999999999993, 2.0000000000000018]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
