molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,display_reference_Ha,display_RHF,display_FCI,display_unit
LiH,1,1.2627723698145548,-0.2480388808631253,-7.846905488627087,-7.863666397797438,-0.016760909170351113,-16.760909170351113,-7.86338212892119,16.476640294103007,-0.28426887624810604,mHa
LiH,2,1.2798784995292531,-0.23093275114842693,-7.849365411671973,-7.866207549885629,-0.0168421382136561,-16.8421382136561,-7.86338212892119,14.016717249217159,-2.8254209644389405,mHa
LiH,3,1.2969846292439513,-0.21382662143372877,-7.851586254003153,-7.8685194149447515,-0.01693316094159858,-16.93316094159858,-7.86338212892119,11.795874918036908,-5.137286023561671,mHa
LiH,4,1.3140907589586497,-0.1967204917190304,-7.853580012731602,-7.870614059360389,-0.017034046628787713,-17.034046628787713,-7.86338212892119,9.802116189588261,-7.231930439199452,mHa
LiH,5,1.331196888673348,-0.179614362004332,-7.855358016458685,-7.872502875824975,-0.017144859366290177,-17.144859366290177,-7.86338212892119,8.024112462504895,-9.120746903785282,mHa
LiH,6,1.3483030183880462,-0.16250823228963385,-7.8569309704792225,-7.8741966295102985,-0.01726565903107602,-17.26565903107602,-7.86338212892119,6.4511584419673085,-10.814500589108711,mHa
LiH,7,1.3654091481027446,-0.14540210257493547,-7.858308998577662,-7.875705500746038,-0.01739650216837596,-17.39650216837596,-7.86338212892119,5.07313034352741,-12.32337182484855,mHa
LiH,8,1.3825152778174428,-0.1282959728602373,-7.859501681626981,-7.877039124418992,-0.01753744279201097,-17.53744279201097,-7.86338212892119,3.8804472942084445,-13.656995497802527,mHa
LiH,9,1.3996214075321411,-0.11118984314553892,-7.860518093203393,-7.878206626311631,-0.01768853310823726,-17.68853310823726,-7.86338212892119,2.864035717796476,-14.824497390440783,mHa
LiH,10,1.4167275372468395,-0.09408371343084054,-7.861366832428312,-7.879216656596697,-0.01784982416838421,-17.84982416838421,-7.86338212892119,2.015296492877461,-15.834527675506749,mHa
LiH,11,1.4338336669615377,-0.07697758371614238,-7.862056054245256,-7.880077420700788,-0.018021366455531762,-18.021366455531762,-7.86338212892119,1.3260746759335973,-16.695291779598165,mHa
LiH,12,1.450939796676236,-0.059871454001444,-7.862593497331795,-7.880796707742409,-0.018203210410614012,-18.203210410614012,-7.86338212892119,0.7886315893950169,-17.414578821218996,mHa
LiH,13,1.4680459263909342,-0.04276532428674584,-7.862986509838548,-7.88138191674128,-0.01839540690273278,-18.39540690273278,-7.86338212892119,0.3956190826421846,-17.999787820090596,mHa
LiH,14,1.4851520561056326,-0.02565919457204746,-7.863242073136501,-7.8818400807851585,-0.0185980076486576,-18.5980076486576,-7.86338212892119,0.14005578468889723,-18.457951863968702,mHa
LiH,15,1.502258185820331,-0.00855306485734908,-7.863366823743038,-7.882177889328925,-0.01881106558588641,-18.81106558588641,-7.86338212892119,0.015305178151514554,-18.795760407734896,mHa
LiH,16,1.5193643155350292,0.00855306485734908,-7.8633670735853745,-7.8824017087889935,-0.019034635203619032,-19.034635203619032,-7.86338212892119,0.015055335815361559,-19.01957986780367,mHa
LiH,17,1.5364704452497275,0.02565919457204746,-7.863248828748517,-7.882517601583936,-0.019268772835419057,-19.268772835419057,-7.86338212892119,0.13330017267243477,-19.135472662746622,mHa
LiH,18,1.553576574964426,0.04276532428674584,-7.86301780684255,-7.882531343759947,-0.019513536917396657,-19.513536917396657,-7.86338212892119,0.36432207863956734,-19.14921483875709,mHa
LiH,19,1.570682704679124,0.059871454001444,-7.862679453113094,-7.882448441328107,-0.01976898821501294,-19.76898821501294,-7.86338212892119,0.7026758080961315,-19.066312406916808,mHa
LiH,20,1.5877888343938225,0.07697758371614238,-7.862238955407887,-7.882274145429635,-0.020035190021748583,-20.035190021748583,-7.86338212892119,1.143173513303175,-18.89201650844541,mHa
LiH,21,1.6048949641085208,0.09408371343084077,-7.861701258101523,-7.882013466433766,-0.020312208332242676,-20.312208332242676,-7.86338212892119,1.6808708196665023,-18.631337512576174,mHa
LiH,22,1.622001093823219,0.11118984314553892,-7.861071075071287,-7.881671187063703,-0.02060011199241618,-20.60011199241618,-7.86338212892119,2.311053849902933,-18.289058142513248,mHa
LiH,23,1.6391072235379174,0.1282959728602373,-7.860352901807693,-7.881251874636477,-0.020898972828783613,-20.898972828783613,-7.86338212892119,3.029227113496624,-17.86974571528699,mHa
LiH,24,1.6562133532526158,0.1454021025749357,-7.859551026734975,-7.88075989249383,-0.02120886575885539,-21.20886575885539,-7.86338212892119,3.831102186214963,-17.377763572640426,mHa
LiH,25,1.673319482967314,0.16250823228963385,-7.858669541809688,-7.88019941069414,-0.02152986888445252,-21.52986888445252,-7.86338212892119,4.712587111502131,-16.817281772950388,mHa
LiH,26,1.690425612682012,0.179614362004332,-7.857712352458455,-7.879574416027605,-0.021862063569150436,-21.862063569150436,-7.86338212892119,5.669776462735143,-16.192287106415293,mHa
LiH,27,1.7075317423967105,0.1967204917190304,-7.856683186909647,-7.878888721411046,-0.02220553450139917,-22.20553450139917,-7.86338212892119,6.698942011542641,-15.50659248985653,mHa
LiH,28,1.7246378721114088,0.21382662143372877,-7.855585604968732,-7.878145974712777,-0.022560369744045516,-22.560369744045516,-7.86338212892119,7.796523952458223,-14.763845791587293,mHa
