molecule,run,n_seeds,mean_MAE_mHa,std_MAE_mHa,se_MAE_mHa,mean_RMSE_mHa,std_RMSE_mHa,se_RMSE_mHa
CO,FG,32,3.5124670902057815,1.582733064769075,0.279790320726595,4.5659142802863695,1.7921961497634875,0.3168185126785458
CO,MB-1,32,1.046504628012002,1.2727316399663917,0.22498929331272777,1.2916721083254465,1.483764103052157,0.26229491473733885
CO,MB1_PRIME,32,2.0553698555349325,2.5263706589914787,0.4466034561909003,2.4654753700331122,2.9129409805353887,0.514940080133191
