epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
1,0.02599207714626887,25.99207714626887,0.02416751331157078,24.16751331157078,0.02,1,-0.12794897501725036,-0.01855957222405484
2,0.01790705024879664,17.90705024879664,0.01797723114745006,17.97723114745006,0.02,2,-0.16073017149288973,-0.024242269145222574
3,0.015051668391614011,15.051668391614012,0.013883783677387185,13.883783677387186,0.02,3,-0.19086126886435373,-0.03452529271869341
4,0.012917503580031428,12.917503580031427,0.012609844493882168,12.609844493882168,0.02,4,-0.21661748433645833,-0.04184520673538359
5,0.013632058563223097,13.632058563223097,0.014073273850840189,14.07327385084019,0.02,4,-0.2395480756714119,-0.0482797752439049
6,0.007725034907636308,7.725034907636307,0.00697657353308778,6.97657353308778,0.02,6,-0.2592598566090227,-0.05479314569604666
7,0.01190882557473066,11.90882557473066,0.011342647852907808,11.342647852907808,0.02,6,-0.2779175967558408,-0.06015903793149625
8,0.005343997777968127,5.343997777968127,0.0049584888439332675,4.958488843933267,0.02,8,-0.29879445635836116,-0.06658988113972261
9,0.010882459249796061,10.882459249796062,0.011606989180155488,11.606989180155487,0.02,8,-0.3168807715729479,-0.0716395888094136
10,0.008499291094250565,8.499291094250564,0.007788183041316706,7.788183041316706,0.02,8,-0.33142354631822624,-0.07825427341810207
11,0.007103303543395478,7.103303543395478,0.006932359642878988,6.932359642878988,0.02,8,-0.3460320553024944,-0.08764767508302931
12,0.006473931543512588,6.473931543512588,0.0059743877269407405,5.974387726940741,0.02,8,-0.36156314177934273,-0.09686001258188462
13,0.00936486355228452,9.36486355228452,0.00907705725936901,9.07705725936901,0.02,8,-0.3756358060340746,-0.10569359495843486
14,0.004001699044211978,4.0016990442119775,0.0034559039819084276,3.4559039819084276,0.02,14,-0.38712299916422566,-0.11382973168599424
15,0.006575292581455329,6.575292581455329,0.006317896353165788,6.317896353165788,0.02,14,-0.39804989966121856,-0.12011457372693027
16,0.006136274398958109,6.136274398958109,0.006134857543364177,6.134857543364177,0.02,14,-0.409611369597205,-0.12422716534329128
17,0.005764562009051868,5.764562009051867,0.005875595648592572,5.875595648592572,0.02,14,-0.41999574581191873,-0.1295983583320613
18,0.00412011112095015,4.12011112095015,0.003547402501788734,3.547402501788734,0.02,14,-0.42828731345623483,-0.13430253785963345
19,0.005163006214692293,5.163006214692293,0.004772937472819081,4.772937472819081,0.02,14,-0.4361241143541655,-0.13817863803499467
20,0.004270465825728398,4.270465825728398,0.003866510977401686,3.866510977401686,0.02,14,-0.44495395059493603,-0.1400701324055597
21,0.004289234216783625,4.289234216783625,0.004263657212200176,4.263657212200177,0.02,14,-0.45253251735189454,-0.14188277610911967
22,0.004091587727516738,4.091587727516738,0.00391886396120966,3.9188639612096603,0.02,14,-0.4589044252303204,-0.14272514330455136
23,0.00400610709798449,4.00610709798449,0.0036209813876362127,3.620981387636213,0.02,14,-0.4651221567210821,-0.1434279976707639
24,0.0026488309025067473,2.6488309025067474,0.0023500184361010144,2.3500184361010144,0.02,24,-0.4716581179805074,-0.1432006581244464
25,0.004064208865247451,4.06420886524745,0.003708681137525782,3.708681137525782,0.02,24,-0.47764989229547894,-0.14131587353072694
26,0.0030239635277773532,3.023963527777353,0.0025710373793422447,2.5710373793422447,0.02,24,-0.482345352560616,-0.13907613091720583
27,0.002722832978807573,2.7228329788075727,0.002315237764883878,2.315237764883878,0.02,24,-0.48739600182585546,-0.13679833475011735
28,0.003188361798920273,3.188361798920273,0.0028160607837287594,2.8160607837287595,0.02,24,-0.49228811263462563,-0.13506767796333363
29,0.0025853449238757227,2.5853449238757227,0.0023422294809937573,2.3422294809937574,0.02,29,-0.49733749252633647,-0.13435700044536605
30,0.0031193042716146,3.1193042716145998,0.0024479741065280875,2.4479741065280876,0.02,29,-0.5015875325865674,-0.13419679882028868
31,0.002655715161951033,2.6557151619510333,0.0022852624404658146,2.2852624404658144,0.02,29,-0.5062662412021611,-0.1327781039630046
32,0.002755670899168276,2.7556708991682757,0.0026287783277656592,2.628778327765659,0.02,29,-0.5107762200493355,-0.1310835950435473
33,0.002640650260889843,2.640650260889843,0.0022485936196164217,2.248593619616422,0.02,29,-0.5143201615905488,-0.12976286300893067
34,0.0028100572037617956,2.8100572037617955,0.002304873631327281,2.304873631327281,0.02,29,-0.5177419589126677,-0.12913963774484427
35,0.0023150345932144247,2.315034593214425,0.0021365491648544363,2.1365491648544364,0.02,35,-0.5219771699850051,-0.128592393788615
36,0.0030246889947490346,3.0246889947490345,0.0029682087970392752,2.968208797039275,0.02,35,-0.5260352161512482,-0.1280181123623487
37,0.002659238537827846,2.659238537827846,0.0021598347814010765,2.1598347814010763,0.02,35,-0.5291349382768038,-0.12853945142956957
38,0.002418012631127222,2.4180126311272216,0.001969805199831489,1.969805199831489,0.02,35,-0.532697699308113,-0.12831865755424282
39,0.0027052078063760625,2.7052078063760625,0.0025162210703912223,2.5162210703912224,0.02,35,-0.5363092357074339,-0.12741080104373484
40,0.0025215006586637094,2.5215006586637094,0.002342106469491567,2.342106469491567,0.02,35,-0.5395312201772365,-0.12648452271309682
41,0.002494367039022864,2.494367039022864,0.002179512959128895,2.179512959128895,0.02,35,-0.5426987002991462,-0.12644765793435708
42,0.0023758863265936755,2.3758863265936756,0.0021868260226798183,2.1868260226798184,0.02,35,-0.5461391595031749,-0.12553256105597704
