geometry_id,index,eigenvalue,distance_to_zero,distance_to_two,near_zero,near_two
001,0,-3.7759955008108545e-17,3.7759955008108545e-17,2,True,False
001,1,4.8184916485817117e-16,4.8184916485817117e-16,1.9999999999999996,True,False
001,2,0.0051950521266224126,0.0051950521266224126,1.9948049478733776,False,False
001,3,1.9999999999999898,1.9999999999999898,1.021405182655144e-14,False,False
001,4,1.9999999999999936,1.9999999999999936,6.4392935428259079e-15,False,False
001,5,1.9999999999999984,1.9999999999999984,1.5543122344752192e-15,False,False
001,6,1.9999999999999998,1.9999999999999998,2.2204460492503131e-16,False,True
001,7,2.0000000000000013,2.0000000000000013,1.3322676295501878e-15,False,False
002,0,-2.741597229261468e-16,2.741597229261468e-16,2.0000000000000004,True,False
002,1,5.2115118001115522e-17,5.2115118001115522e-17,2,True,False
002,2,0.0052692990386140615,0.0052692990386140615,1.9947307009613859,False,False
002,3,1.9999999999999942,1.9999999999999942,5.773159728050814e-15,False,False
002,4,1.9999999999999984,1.9999999999999984,1.5543122344752192e-15,False,False
002,5,1.9999999999999987,1.9999999999999987,1.3322676295501878e-15,False,False
002,6,2,2,0,False,True
002,7,2.0000000000000031,2.0000000000000031,3.1086244689504383e-15,False,False
003,0,-3.025509174258873e-16,3.025509174258873e-16,2.0000000000000004,True,False
003,1,8.0506312500856012e-17,8.0506312500856012e-17,2,True,False
003,2,0.0053411923698809538,0.0053411923698809538,1.994658807630119,False,False
003,3,1.999999999999992,1.999999999999992,7.9936057773011271e-15,False,False
003,4,1.999999999999996,1.999999999999996,3.9968028886505635e-15,False,False
003,5,1.9999999999999987,1.9999999999999987,1.3322676295501878e-15,False,False
003,6,1.9999999999999989,1.9999999999999989,1.1102230246251565e-15,False,False
003,7,2.0000000000000009,2.0000000000000009,8.8817841970012523e-16,False,True
004,0,-4.0968882432673009e-17,4.0968882432673009e-17,2,True,False
004,1,4.0968882432673009e-17,4.0968882432673009e-17,2,True,False
004,2,0.0054107027495375881,0.0054107027495375881,1.9945892972504624,False,False
004,3,1.9999999999999927,1.9999999999999927,7.3274719625260332e-15,False,False
004,4,1.9999999999999962,1.9999999999999962,3.7747582837255322e-15,False,False
004,5,2,2,0,False,True
004,6,2.0000000000000036,2.0000000000000036,3.5527136788005009e-15,False,False
004,7,2.0000000000000036,2.0000000000000036,3.5527136788005009e-15,False,False
005,0,-6.782644242895087e-17,6.782644242895087e-17,2,True,False
005,1,2.8987104735398217e-16,2.8987104735398217e-16,1.9999999999999998,True,False
005,2,0.0054778050943116163,0.0054778050943116163,1.9945221949056884,False,False
005,3,1.9999999999999951,1.9999999999999951,4.8849813083506888e-15,False,False
005,4,1.9999999999999984,1.9999999999999984,1.5543122344752192e-15,False,False
005,5,1.9999999999999987,1.9999999999999987,1.3322676295501878e-15,False,False
005,6,2.0000000000000036,2.0000000000000036,3.5527136788005009e-15,False,False
005,7,2.0000000000000058,2.0000000000000058,5.773159728050814e-15,False,False
