molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,final_test_evaluation_call_count,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,MB2_flip_01234,3,train,15,496,train,0.0005284783650976306,1,0.0005284783650976306,0.5284783650976306,0.0006424926839839623,0.6424926839839623,0.00136528303792538,1.36528303792538,0.0019496530575227045,1.9496530575227045
CO,MB2_flip_01234,3,test,15,496,train,0.0005284783650976306,1,0.0005516972028297447,0.5516972028297448,0.0006820033996393185,0.6820033996393186,0.001655397531780678,1.655397531780678,0.0022305897522125195,2.2305897522125195
