molecule,model,seed,split,count,best_epoch,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,FG,6,test,15,130,0.0009824675527671744,0.9824675527671743,0.0012251745829235596,1.2251745829235596,0.002474686830405831,2.4746868304058314,0.004782096638755812,4.782096638755812
CO,FG,7,train,15,344,0.0012732545630686246,1.2732545630686247,0.0018927735922528556,1.8927735922528557,0.004958291271314114,4.958291271314113,0.008164802714310249,8.164802714310248
CO,FG,7,test,15,344,0.0010975904933684148,1.0975904933684149,0.0014494945437250706,1.4494945437250706,0.0032149175111565176,3.214917511156518,0.005629409565502841,5.629409565502841
CO,FG,8,train,15,348,0.0011675056195507073,1.1675056195507072,0.001957688397964824,1.9576883979648239,0.006159791401766812,6.159791401766812,0.008800661709852886,8.800661709852886
CO,FG,8,test,15,348,0.0009531844772487271,0.9531844772487271,0.0012209344973487899,1.22093449734879,0.0025228815227724133,2.5228815227724133,0.004794646909971917,4.794646909971917
CO,FG,9,train,15,128,0.0012060631032889198,1.2060631032889197,0.0019868367886902486,1.9868367886902485,0.0066197341838474255,6.6197341838474255,0.008539542517385618,8.539542517385618
CO,FG,9,test,15,128,0.0009159037689589514,0.9159037689589514,0.0012253838433467384,1.2253838433467383,0.0027149801035276366,2.714980103527637,0.00472890638549045,4.7289063854904505
CO,FG,10,train,15,478,0.0012646715763173888,1.2646715763173888,0.0019395058271052096,1.9395058271052097,0.005439433193893506,5.439433193893506,0.007974079748053226,7.974079748053225
CO,FG,10,test,15,478,0.0011124743704642411,1.112474370464241,0.0014787763656214455,1.4787763656214454,0.0030590400396404427,3.0590400396404425,0.005490151594722714,5.490151594722715
CO,FG,11,train,15,138,0.0012328313687080465,1.2328313687080465,0.0019521022188008213,1.9521022188008212,0.006404961538023446,6.404961538023446,0.009068599269084793,9.068599269084793
CO,FG,11,test,15,138,0.0008837882839721127,0.8837882839721127,0.0011235073506949125,1.1235073506949125,0.0023276707507058625,2.3276707507058623,0.003938027733710825,3.938027733710825
CO,FG,12,train,15,251,0.0013023290188733624,1.3023290188733623,0.002007242878513232,2.007242878513232,0.00585179586761439,5.85179586761439,0.007521577634876403,7.521577634876403
CO,FG,12,test,15,251,0.0012325972314883435,1.2325972314883435,0.001464610832225938,1.464610832225938,0.0024433244798464926,2.443324479846493,0.004821693708789709,4.821693708789709
CO,FG,13,train,15,337,0.0012706497950052806,1.2706497950052806,0.0018681165053316844,1.8681165053316844,0.004988796480570268,4.988796480570268,0.008652198573091421,8.652198573091422
CO,FG,13,test,15,337,0.0010376209032922801,1.03762090329228,0.0014154045190325761,1.4154045190325761,0.0033095440329204417,3.3095440329204417,0.005215353447286408,5.215353447286408
