model,seed,mae_mHa,molecule,split
FE,0,1.4694666304727155,ALL,train
FE,1,1.9455073267928207,ALL,train
FE,2,1.266129953921654,ALL,train
FE,3,1.9186612975715018,ALL,train
FE,4,2.417444565753194,ALL,train
FE,5,1.369686710955608,ALL,train
FE,6,1.072067188441328,ALL,train
FE,7,1.498525201174289,ALL,train
FE,8,1.68081207704484,ALL,train
FE,9,1.956398585009426,ALL,train
FE,10,1.0055279098969436,ALL,train
FE,11,1.1553660370939154,ALL,train
FE,12,1.0229793376064704,ALL,train
FE,13,0.9754291848133404,ALL,train
FE,14,1.2671950299067507,ALL,train
FE,15,1.295089157206336,ALL,train
FE,16,1.8532012015321362,ALL,train
FE,17,1.1129131134719297,ALL,train
FE,18,1.269731992288318,ALL,train
FE,19,1.1624878413799777,ALL,train
FE,20,2.0163001815993438,ALL,train
FE,21,1.2335096806342705,ALL,train
FE,22,1.337096817622747,ALL,train
FE,23,1.9412379082289386,ALL,train
FE,24,2.044799747412392,ALL,train
FE,25,1.600531997430138,ALL,train
FE,26,0.9788470068854657,ALL,train
FE,27,1.4880179949685286,ALL,train
FE,28,0.7919748638092898,ALL,train
FE,29,1.6265599896185978,ALL,train
FE,30,1.9572780537006103,ALL,train
FE,31,1.6693670540463372,ALL,train
FG,0,1.2592765804753945,ALL,train
FG,1,1.2445046916549463,ALL,train
FG,2,1.226723115423776,ALL,train
FG,3,1.2524317733377015,ALL,train
FG,4,1.2000980160589887,ALL,train
FG,5,1.2431369320372216,ALL,train
FG,6,1.2172250543693606,ALL,train
FG,7,1.2732545630686247,ALL,train
FG,8,1.1675056195507072,ALL,train
FG,9,1.2060631032889197,ALL,train
FG,10,1.2646715763173888,ALL,train
FG,11,1.2328313687080465,ALL,train
FG,12,1.3023290188733623,ALL,train
FG,13,1.2706497950052806,ALL,train
FG,14,1.2619780002225967,ALL,train
FG,15,1.206856572007799,ALL,train
FG,16,1.2110435278367377,ALL,train
FG,17,1.2132794705781027,ALL,train
FG,18,1.3172179792499386,ALL,train
FG,19,1.247606771898361,ALL,train
FG,20,1.1705615330656411,ALL,train
FG,21,1.256402058471238,ALL,train
FG,22,1.4000939406002832,ALL,train
FG,23,1.2560135323448463,ALL,train
FG,24,1.2269289282711333,ALL,train
FG,25,1.2505475879953136,ALL,train
FG,26,1.2296642120844063,ALL,train
FG,27,1.1832493372113988,ALL,train
FG,28,1.2350241046062527,ALL,train
FG,29,1.3166261156783359,ALL,train
FG,30,1.1816679709310791,ALL,train
FG,31,1.2901173037963813,ALL,train
MB-1,0,0.5856262919960423,ALL,train
MB-1,1,0.5161942579058322,ALL,train
MB-1,2,0.6866414839852684,ALL,train
MB-1,3,0.5295446394875067,ALL,train
MB-1,4,0.5885219851036804,ALL,train
MB-1,5,0.6637982642416653,ALL,train
MB-1,6,0.5766317311976817,ALL,train
MB-1,7,6.921252367964091,ALL,train
MB-1,8,0.5254558601824907,ALL,train
MB-1,9,0.679255065280096,ALL,train
MB-1,10,0.5521857053690793,ALL,train
MB-1,11,0.7056424882317114,ALL,train
MB-1,12,0.592003322622664,ALL,train
MB-1,13,0.6306473027448523,ALL,train
MB-1,14,0.7389024607126964,ALL,train
MB-1,15,2.2418947671740646,ALL,train
MB-1,16,0.5925022093895348,ALL,train
MB-1,17,0.5184287421817794,ALL,train
MB-1,18,0.617143626295244,ALL,train
MB-1,19,0.5692984922852751,ALL,train
MB-1,20,2.1796944332831543,ALL,train
MB-1,21,0.26236471811105033,ALL,train
MB-1,22,0.4696702497231614,ALL,train
MB-1,23,0.43256373760178396,ALL,train
MB-1,24,0.7906984294198394,ALL,train
MB-1,25,0.5059506807704783,ALL,train
MB-1,26,0.6452999723819094,ALL,train
MB-1,27,0.5287364762732569,ALL,train
MB-1,28,2.720598391009965,ALL,train
MB-1,29,0.6294834448457465,ALL,train
MB-1,30,2.388895090031246,ALL,train
MB-1,31,0.48827762670952124,ALL,train
FE,0,1.4130578648193393,ALL,test
FE,1,1.9277041034598394,ALL,test
FE,2,1.593979050434475,ALL,test
FE,3,1.7753743138584244,ALL,test
FE,4,2.844691626018281,ALL,test
FE,5,1.584482315166639,ALL,test
FE,6,1.3292509744620569,ALL,test
FE,7,1.4492111920669384,ALL,test
FE,8,1.6797793544541675,ALL,test
FE,9,1.9526335901173881,ALL,test
FE,10,1.1683869092129742,ALL,test
FE,11,1.4048668732486447,ALL,test
FE,12,1.2360792945341759,ALL,test
FE,13,1.2095569088712612,ALL,test
FE,14,1.3653023837595322,ALL,test
FE,15,1.4107299239680653,ALL,test
FE,16,1.7839115133256367,ALL,test
FE,17,1.4648039195945282,ALL,test
FE,18,1.346631600282085,ALL,test
FE,19,1.5071452679320188,ALL,test
FE,20,2.0560105757739127,ALL,test
FE,21,1.3102037373660058,ALL,test
FE,22,1.581715824162447,ALL,test
FE,23,1.8790239903348864,ALL,test
FE,24,1.950943983984621,ALL,test
FE,25,1.8569187679558294,ALL,test
FE,26,1.18776356617288,ALL,test
FE,27,1.478373206331507,ALL,test
FE,28,0.923592715716919,ALL,test
FE,29,1.5780077614273265,ALL,test
FE,30,1.8243666756336152,ALL,test
FE,31,1.6291507463590518,ALL,test
FG,0,1.0842977296494416,ALL,test
FG,1,0.928471349314856,ALL,test
FG,2,1.0016653589608793,ALL,test
FG,3,1.0809918648950256,ALL,test
FG,4,0.9488323545246794,ALL,test
FG,5,1.0539159007819765,ALL,test
FG,6,0.9824675527671743,ALL,test
FG,7,1.0975904933684149,ALL,test
FG,8,0.9531844772487271,ALL,test
FG,9,0.9159037689589514,ALL,test
FG,10,1.112474370464241,ALL,test
FG,11,0.8837882839721127,ALL,test
FG,12,1.2325972314883435,ALL,test
FG,13,1.03762090329228,ALL,test
FG,14,1.0793303130101812,ALL,test
FG,15,0.933944167381275,ALL,test
FG,16,0.9034118627134047,ALL,test
FG,17,0.9381175394595358,ALL,test
FG,18,1.1967505148932152,ALL,test
FG,19,1.0299163260002318,ALL,test
FG,20,0.9433822340928839,ALL,test
FG,21,0.982596024303047,ALL,test
FG,22,1.2421816974902096,ALL,test
FG,23,1.024728348853876,ALL,test
FG,24,0.9736595927883285,ALL,test
FG,25,0.9794017346930546,ALL,test
FG,26,0.9740922511814538,ALL,test
FG,27,0.9328888050334216,ALL,test
FG,28,0.9596569491972462,ALL,test
FG,29,1.139507542208697,ALL,test
FG,30,0.8843645695952344,ALL,test
FG,31,0.9880973353087888,ALL,test
MB-1,0,0.61171107473554,ALL,test
MB-1,1,0.538598053701215,ALL,test
MB-1,2,0.7070302771747934,ALL,test
MB-1,3,0.5541571121891815,ALL,test
MB-1,4,0.611370424324816,ALL,test
MB-1,5,0.6966266589701323,ALL,test
MB-1,6,0.6011630275952917,ALL,test
MB-1,7,7.045134452597335,ALL,test
MB-1,8,0.5498440763403389,ALL,test
MB-1,9,0.7002494163370694,ALL,test
MB-1,10,0.5769384755294649,ALL,test
MB-1,11,0.7809714994042187,ALL,test
MB-1,12,0.623959203225366,ALL,test
MB-1,13,0.6926753780084985,ALL,test
