epoch,train_mae_ha,train_mae_mha
1,0.025881332624816802,25.881332624816803
2,0.01876478537596762,18.76478537596762
3,0.019363358926985375,19.363358926985374
4,0.01442591873899555,14.42591873899555
5,0.015188442589096523,15.188442589096523
6,0.011089787941515135,11.089787941515135
7,0.015700911105100298,15.700911105100298
8,0.007975295422199916,7.975295422199916
9,0.011888000401264306,11.888000401264305
10,0.009444850037083537,9.444850037083537
11,0.00934243279032413,9.34243279032413
12,0.010302681967541657,10.302681967541657
13,0.006430136492920918,6.430136492920918
14,0.010285119864236192,10.285119864236192
15,0.0065960781582034165,6.596078158203417
16,0.006486213399635162,6.486213399635162
17,0.005731928485457696,5.731928485457695
18,0.005468103546232924,5.468103546232924
19,0.006947317115825358,6.947317115825358
20,0.005345980293233382,5.345980293233382
21,0.0054032712484992865,5.403271248499286
22,0.004660491617121656,4.660491617121656
23,0.005634787609603027,5.634787609603028
24,0.005570647532902554,5.570647532902554
25,0.005413978790010998,5.413978790010998
26,0.005328530587209738,5.328530587209738
27,0.005995606261031352,5.995606261031352
28,0.005759421802967429,5.759421802967429
29,0.004643669924015753,4.643669924015753
30,0.004516370601923414,4.516370601923414
31,0.004298875393701546,4.298875393701546
32,0.004401752859519177,4.401752859519178
33,0.004504519399327766,4.504519399327767
34,0.004093727075413683,4.093727075413684
35,0.004269381356842335,4.269381356842335
36,0.0043801061605601484,4.380106160560149
37,0.004196333327743383,4.196333327743383
38,0.004121463632416169,4.121463632416169
39,0.003881506809166169,3.8815068091661686
40,0.003947087947685905,3.9470879476859047
41,0.003918237979255118,3.918237979255118
42,0.003999319576689096,3.999319576689096
43,0.0038287353692067465,3.8287353692067465
44,0.003799970811435697,3.799970811435697
45,0.004032562830959149,4.032562830959149
46,0.0037708759655337726,3.7708759655337727
47,0.0037397654221223244,3.7397654221223244
48,0.004095536592937047,4.095536592937047
49,0.003720577443227498,3.7205774432274983
50,0.003695102796313036,3.695102796313036
51,0.0040907728638661265,4.0907728638661265
52,0.0038930589888303744,3.8930589888303744
53,0.0037387971165668923,3.7387971165668925
54,0.003993201995673786,3.9932019956737856
55,0.004117453686781693,4.117453686781693
56,0.003751917733488915,3.751917733488915
57,0.003760501659602026,3.760501659602026
58,0.004308897361789937,4.3088973617899375
59,0.003787688832689497,3.787688832689497
60,0.0038133406165930545,3.8133406165930546
61,0.0038271761995203268,3.8271761995203266
