molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_re_Ha,E_RHF_minus_E_re_Ha,E_RHF_relative_mHa
H2O,28,1.0865877925394596,0.09717861615420975,-74.94824868648703,-74.96590119229926,0.01765250581222233,17.65250581222233
H2O,29,1.0943620818317965,0.10495290544654667,-74.9455869915157,-74.96590119229926,0.0203142007835595,20.3142007835595
H2O,30,1.1021363711241332,0.11272719473888337,-74.94277820227626,-74.96590119229926,0.02312299002299767,23.12299002299767
NH3,1,0.9376456348042379,-0.09487707876189888,-55.42410414541763,-55.45541977879945,0.03131563338182275,31.31563338182275
NH3,2,0.9441888816154034,-0.08833383195073341,-55.428621757693755,-55.45541977879945,0.026798021105697956,26.798021105697956
NH3,3,0.9507321284265687,-0.08179058513956805,-55.43273667255333,-55.45541977879945,0.022683106246120133,22.683106246120133
NH3,4,0.9572753752377342,-0.07524733832840258,-55.43646310469789,-55.45541977879945,0.018956674101559656,18.956674101559656
NH3,5,0.9638186220488997,-0.06870409151723711,-55.43981473444276,-55.45541977879945,0.015605044356689746,15.605044356689746
NH3,6,0.9703618688600651,-0.06216084470607164,-55.442804731166284,-55.45541977879945,0.012615047633168786,12.615047633168786
NH3,7,0.9769051156712305,-0.05561759789490628,-55.445445775728835,-55.45541977879945,0.009974003070617243,9.974003070617243
NH3,8,0.983448362482396,-0.04907435108374081,-55.447750081895656,-55.45541977879945,0.007669696903796819,7.669696903796819
NH3,9,0.9899916092935614,-0.04253110427257534,-55.4497294167978,-55.45541977879945,0.005690362001651295,5.690362001651295
NH3,10,0.9965348561047269,-0.03598785746140987,-55.451395120463125,-55.45541977879945,0.004024658336327036,4.024658336327036
NH3,11,1.0030781029158924,-0.029444610650244396,-55.452758124451194,-55.45541977879945,0.002661654348258935,2.661654348258935
NH3,12,1.0096213497270576,-0.022901363839079147,-55.45382896962219,-55.45541977879945,0.0015908091772658395,1.5908091772658395
NH3,13,1.016164596538223,-0.016358117027913677,-55.45461782307142,-55.45541977879945,0.0008019557280292133,0.8019557280292133
NH3,14,1.0227078433493886,-0.009814870216748206,-55.455134494261046,-55.45541977879945,0.0002852845384069269,0.2852845384069269
