molecule,point_index,basis,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,E_CAS_active_Ha,E_core_including_nuclear_Ha,E_nuclear_Ha,n_frozen_orbitals,n_active_orbitals,n_active_electrons,status,error
LiH,0,sto-3g,1.51081125067768,0.0,-7.863382128921197,-7.882303661881452,-0.018921532960255227,-18.921532960255227,-1.0978297977868277,-6.7844738640946245,1.0507809178995104,1,5,2,PASS,
BeH2,0,sto-3g,1.29053839899188,0.0,-15.561352807782066,-15.594409532550817,-0.0330567247687501,-33.0567247687501,-4.000238048015113,-11.594171484535703,3.4853719163518684,1,6,4,PASS,
H2O,0,sto-3g,0.989409318679461,0.0,-74.96590119230041,-75.020336365114,-0.05443517281359789,-54.43517281359789,-23.336772769824634,-51.68356359528937,8.906489095471919,1,6,8,PASS,
NH3,0,sto-3g,1.0325225664540305,0.0,-55.45541977880505,-55.52436576913857,-0.06894599033351767,-68.94599033351767,-19.95691239624125,-35.56745337289732,11.73717640367457,1,7,8,PASS,
N2,0,sto-3g,1.13385129417582,0.0,-107.50065426275145,-107.66834936589119,-0.16769510313973512,-167.69510313973512,-30.875259204159633,-76.79309016173156,22.868680812264635,2,8,10,PASS,
CO,0,sto-3g,1.14548067564969,0.0,-111.2254495141357,-111.36770817294774,-0.14225865881203958,-142.25865881203958,-32.015642832834416,-79.35206534011336,22.17453918177487,2,8,10,PASS,
HF,0,sto-3g,0.95546269843299,0.0,-98.57284734716009,-98.60172857207351,-0.0288812249134196,-28.8812249134196,-27.827559736294205,-70.7741688357793,4.984595323387204,1,5,8,PASS,
H2S,0,sto-3g,1.3286560510665755,0.0,-394.3116300592758,-394.3534342222551,-0.04180416297930378,-41.80416297930378,-15.995904897766252,-378.35752932448884,13.020583139664389,5,6,8,PASS,
H2O2,0,sto-3g,1.3962486935214782,0.0,-148.76499662127264,-148.8712446922981,-0.10624807102544764,-106.24807102544764,-55.56758003503762,-93.30366465726047,37.457363829482176,2,10,14,PASS,
