molecule,point_index,basis,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,E_CAS_active_Ha,E_core_including_nuclear_Ha,E_nuclear_Ha,n_frozen_orbitals,n_active_orbitals,n_active_electrons,status,error
BeH2,13,sto-3g,1.2660675546721787,-0.024470844319701257,-15.56083125681183,-15.592957066247958,-0.03212580943612764,-32.12580943612764,-4.034493385301042,-11.558463680946916,3.552737984810506,1,6,4,PASS,
BeH2,14,sto-3g,1.2758558924000591,-0.014682506591820799,-15.561167319090728,-15.593658595435613,-0.03249127634488502,-32.49127634488502,-4.020747414134984,-11.57291118130063,3.5254814588492716,1,6,4,PASS,
BeH2,15,sto-3g,1.2856442301279396,-0.00489416886394034,-15.561332445460108,-15.5941983817916,-0.032865936331491596,-32.865936331491596,-4.007059700896338,-11.587138680895261,3.4986399716291543,1,6,4,PASS,
BeH2,16,sto-3g,1.2954325678558203,0.00489416886394034,-15.561332688638943,-15.594582513986143,-0.0332498253472,-33.2498253472,-3.9934313795354868,-11.601151134450657,3.472204115004635,1,6,4,PASS,
BeH2,17,sto-3g,1.3052209055837007,0.014682506591820799,-15.561173883022258,-15.59481686730281,-0.03364298428055257,-33.64298428055257,-3.9798635168902567,-11.614953350412554,3.4461647630509495,1,6,4,PASS,
BeH2,18,sto-3g,1.3150092433115812,0.024470844319701257,-15.560861653112138,-15.594907111888741,-0.034045458776603255,-34.045458776603255,-3.966357115578777,-11.628549996309964,3.42051306156046,1,6,4,PASS,
BeH2,19,sto-3g,1.3247975810394617,0.034259182047581715,-15.560401421633568,-15.594858720695846,-0.03445729906227868,-34.45729906227868,-3.95291311682389,-11.641945603871957,3.3952404180046725,1,6,4,PASS,
BeH2,20,sto-3g,1.3345859187673421,0.044047519775462174,-15.559798417348649,-15.59467697712652,-0.03487855977787113,-34.87855977787113,-3.9395324032098227,-11.655144573916697,3.3703384919379893,1,6,4,PASS,
BeH2,21,sto-3g,1.3443742564952226,0.05383585750334263,-15.559057682582184,-15.594366982396657,-0.035309299814473505,-35.309299814473505,-3.9262158013713915,-11.668151181025266,3.3457991858206833,1,6,4,PASS,
BeH2,22,sto-3g,1.3541625942231033,0.06362419523122331,-15.558184080469477,-15.593933662626757,-0.03574958215727975,-35.74958215727975,-3.912964084614572,-11.680969578012185,3.3216146362398615,1,6,4,PASS,
BeH2,23,sto-3g,1.3639509319509837,0.07341253295910377,-15.557182301937354,-15.593381775672109,-0.036199473734754406,-36.199473734754406,-3.8997779754688935,-11.693603800203215,3.297777205508479,1,6,4,PASS,
BeH2,24,sto-3g,1.3737392696788642,0.08320087068698423,-15.556056872428183,-15.592715917701561,-0.036659045273378155,-36.659045273378155,-3.8866581481707705,-11.70605776953079,3.2742794736234697,1,6,4,PASS,
BeH2,25,sto-3g,1.3835276074067446,0.09298920841486469,-15.55481215837598,-15.59194052953395,-0.0371283711579693,-37.1283711579693,-3.873605231076967,-11.718335298456983,3.251114230565279,1,6,4,PASS,
BeH2,26,sto-3g,1.393315945134625,0.10277754614274515,-15.553452373442582,-15.59105990274001,-0.0376075292974285,-37.6075292974285,-3.8606198090076926,-11.730440093732318,3.2282744689219744,1,6,4,PASS,
BeH2,27,sto-3g,1.4031042828625058,0.11256588387062583,-15.551981584522183,-15.590078185517962,-0.03809660099577883,-38.09660099577883,-3.8477024255185253,-11.742375759999437,3.2057533768220794,1,6,4,PASS,
BeH2,28,sto-3g,1.4128926205903862,0.12235422159850629,-15.550403717521613,-15.588999388349865,-0.03859567082825244,-38.59567082825244,-3.834853585100724,-11.754145803249141,3.1835443311611886,1,6,4,PASS,
BeH2,29,sto-3g,1.4226809583182667,0.13214255932638674,-15.548722562923551,-15.58782738944608,-0.03910482652252867,-39.10482652252867,-3.8220737553095248,-11.765753634136555,3.1616408911081773,1,6,4,PASS,
BeH2,30,sto-3g,1.4324692960461471,0.1419308970542672,-15.546941781138694,-15.58656593998329,-0.039624158844596025,-39.624158844596025,-3.8093633688195503,-11.77720257116374,3.1400367918776646,1,6,4,PASS,
H2O,1,sto-3g,0.8766820946783271,-0.11272722400113389,-74.9305954294513,-74.97135215104066,-0.04075672158936072,-40.75672158936072,-24.157850123428005,-50.81350202761266,10.05172041412604,1,6,8,PASS,
H2O,2,sto-3g,0.8844563859887502,-0.10495293269071082,-74.93578600178965,-74.97737805275293,-0.04159205096327412,-41.59205096327412,-24.096750337046622,-50.880627715706304,9.963366704538672,1,6,8,PASS,
H2O,3,sto-3g,0.8922306772991732,-0.09717864138028787,-74.94049108442891,-74.98293349756847,-0.04244241313955399,-42.44241313955399,-24.036350056970143,-50.946583440598324,9.876552703222195,1,6,8,PASS,
H2O,4,sto-3g,0.9000049686095962,-0.0894043500698648,-74.94473178500326,-74.9880398330304,-0.04330804802714283,-43.30804802714283,-23.976640305887337,-51.01139952714306,9.79123850992811,1,6,8,PASS,
H2O,5,sto-3g,0.9077792599200193,-0.08163005875944174,-74.94852820398167,-74.99271739740897,-0.04418919342730021,-44.18919342730021,-23.917612136112325,-51.07510526129664,9.7073855912431,1,6,8,PASS,
H2O,6,sto-3g,0.9155535512304422,-0.07385576744901878,-74.95189949404875,-74.99698557886782,-0.04508608481907572,-45.08608481907572,-23.859256644666402,-51.13772893420142,9.624956722557586,1,6,8,PASS,
H2O,7,sto-3g,0.9233278425408653,-0.06608147613859572,-74.95486391581031,-75.00086287095411,-0.04599895514380137,-45.99895514380137,-23.801564986907962,-51.199297884046146,9.543915932966037,1,6,8,PASS,
H2O,8,sto-3g,0.9311021338512884,-0.05830718482817265,-74.95743888999577,-75.00436692458509,-0.04692803458931394,-46.92803458931394,-23.744528388752272,-51.25983853583281,9.464228452927546,1,6,8,PASS,
H2O,9,sto-3g,0.9388764251617113,-0.0505328935177497,-74.95964104632206,-75.00751459669772,-0.04787355037565533,-47.87355037565533,-23.688138157528712,-51.319376439169005,9.385860664526877,1,6,8,PASS,
H2O,10,sto-3g,0.9466507164721344,-0.042758602207326635,-74.96148626918632,-75.01032199572973,-0.04883572654340185,-48.83572654340185,-23.632385691526757,-51.37793630420297,9.308780054186238,1,6,8,PASS,
H2O,11,sto-3g,0.9544250077825573,-0.03498431089690368,-74.96298974034647,-75.01280452409114,-0.04981478374466519,-49.81478374466519,-23.577262488288596,-51.43554203580254,9.23295516768831,1,6,8,PASS,
H2O,12,sto-3g,0.9621992990929804,-0.027210019586480616,-74.96416597875154,-75.01497691779232,-0.05081093904078671,-50.81093904078671,-23.5227601517104,-51.492216766081924,9.158355567379573,1,6,8,PASS,
H2O,13,sto-3g,0.9699735904034035,-0.01943572827605755,-74.9650288776729,-75.01685328337712,-0.05182440570420965,-51.82440570420965,-23.46887039801326,-51.54798288536386,9.084951791431783,1,6,8,PASS,
H2O,14,sto-3g,0.9777478817138265,-0.011661436965634486,-74.96559173929221,-75.01844713232205,-0.05285539302984432,-52.85539302984432,-23.41558506065283,-51.60286207166922,9.01271531504695,1,6,8,PASS,
H2O,15,sto-3g,0.9855221730242495,-0.0038871456552115324,-74.96586730689306,-75.01977141304593,-0.05390410615287067,-53.90410615287067,-23.36289609423485,-51.65687531881108,8.941618513498517,1,6,8,PASS,
H2O,16,sto-3g,0.9932964643346726,0.0038871456552115324,-74.96586779479925,-75.02083854067745,-0.05497074587819384,-54.97074587819384,-23.310795577506774,-51.71004296317067,8.871634626908152,1,6,8,PASS,
H2O,17,sto-3g,1.0010707556450955,0.011661436965634486,-74.96560491620397,-75.02166042472334,-0.05605550851936414,-56.05550851936414,-23.259275715494297,-51.76238470922904,8.802737726663798,1,6,8,PASS,
H2O,18,sto-3g,1.0088450469555186,0.01943572827605755,-74.96508990902286,-75.02224849477234,-0.05715858574947674,-57.15858574947674,-23.208328840854648,-51.813919653917694,8.734902683390445,1,6,8,PASS,
H2O,19,sto-3g,1.0166193382659416,0.027210019586480616,-74.96433355990357,-75.02261372436905,-0.05828016446548645,-58.28016446548645,-23.15794741451549,-51.86466630985356,8.6681051363905,1,6,8,PASS,
H2O,20,sto-3g,1.0243936295763647,0.03498431089690368,-74.96334622651966,-75.02276665318503,-0.059420426665369064,-59.420426665369064,-23.108124025667777,-51.91464262751725,8.602321464475688,1,6,8,PASS,
H2O,21,sto-3g,1.0321679208867875,0.042758602207326524,-74.96213785827123,-75.0227174076112,-0.06057954933996257,-60.57954933996257,-23.058851391181804,-51.96386601642939,8.537528758117134,1,6,8,PASS,
H2O,22,sto-3g,1.0399422121972106,0.05053289351774959,-74.96071801550896,-75.02247571988882,-0.061757704379857614,-61.757704379857614,-23.01012235451121,-52.01235336537761,8.473704792844599,1,6,8,PASS,
H2O,23,sto-3g,1.0477165035076337,0.05830718482817265,-74.9590958873919,-75.02205094588994,-0.06295505849804783,-62.95505849804783,-22.96192988414566,-52.06012106174428,8.410828003830057,1,6,8,PASS,
H2O,24,sto-3g,1.0554907948180567,0.06608147613859572,-74.95728030848984,-75.02145208165783,-0.06417177316798472,-64.17177316798472,-22.91426707167902,-52.10718500997881,8.34887746159448,1,6,8,PASS,
H2O,25,sto-3g,1.0632650861284798,0.07385576744901878,-74.95527977422806,-75.02068777880727,-0.06540800457921137,-65.40800457921137,-22.867127129545196,-52.153560649262076,8.287832848780383,1,6,8,PASS,
H2O,26,sto-3g,1.0710393774389029,0.08163005875944185,-74.95310245527196,-75.01976635888096,-0.06666390360899754,-66.66390360899754,-22.820503388481413,-52.199262970399545,8.227674437935972,1,6,8,PASS,
