molecule,model,mean,sd,n,median,se,split
CO,FE_prime,2.8687613318058376,0.765094574553827,32,2.43146175913785,0.1352508904790119,train
CO,FE_prime,3.820728864019668,0.7017770570165222,32,3.4386806547974427,0.1240578289743803,test
