molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB2,6,test,15,197,train,5.89716506037082e-05,6.126320650958749e-05,0.06126320650958749,7.498006896975774e-05,0.07498006896975774,0.0001856974761169916,0.1856974761169916,0.0003152302386834893,0.3152302386834893,1
CO,MB2,7,train,15,500,train,0.0003877731323942183,0.0003877731323942183,0.3877731323942183,0.0005111142864584325,0.5111142864584325,0.0011792576012531197,1.1792576012531197,0.001992348135139127,1.992348135139127,1
CO,MB2,7,test,15,500,train,0.0003877731323942183,0.0004081059907680503,0.4081059907680503,0.0005552180124026245,0.5552180124026245,0.0013762937134124686,1.3762937134124686,0.002067363004663675,2.067363004663675,1
CO,MB2,8,train,15,500,train,0.0004061282192856369,0.0004061282192856369,0.4061282192856369,0.0005036674836026906,0.5036674836026906,0.0010355112259659432,1.0355112259659434,0.0014181852240540554,1.4181852240540556,1
CO,MB2,8,test,15,500,train,0.0004061282192856369,0.00041044845185905045,0.41044845185905043,0.0005205736179433734,0.5205736179433734,0.0012303670491495,1.2303670491495,0.0016111320838889664,1.6111320838889664,1
CO,MB2,9,train,15,495,train,0.0003548510617097896,0.0003548510617097896,0.35485106170978964,0.0004360943042750961,0.4360943042750961,0.0009210489169072245,0.9210489169072245,0.0012778521319113112,1.2778521319113112,1
CO,MB2,9,test,15,495,train,0.0003548510617097896,0.000364399552723275,0.36439955272327496,0.00045894278366228166,0.45894278366228164,0.0011144255522595181,1.1144255522595181,0.0014661659661376336,1.4661659661376336,1
CO,MB2,10,train,15,490,train,0.00023115197758711477,0.00023115197758711477,0.23115197758711478,0.00028196138924255345,0.28196138924255343,0.0006083989947830437,0.6083989947830437,0.0008565700577056745,0.8565700577056745,1
CO,MB2,10,test,15,490,train,0.00023115197758711477,0.000241499596521616,0.241499596521616,0.0003021654959413838,0.3021654959413838,0.0007468082182695013,0.7468082182695013,0.0009958112903482863,0.9958112903482863,1
CO,MB2,11,train,15,500,train,0.0003156424559582649,0.0003156424559582649,0.3156424559582649,0.0003820964840394304,0.3820964840394304,0.0007918893497460278,0.7918893497460278,0.001387178558474339,1.387178558474339,1
CO,MB2,11,test,15,500,train,0.0003156424559582649,0.00031052129333745314,0.31052129333745315,0.0003729081724520228,0.3729081724520228,0.0006862766123366393,0.6862766123366393,0.0013578636503944197,1.3578636503944197,1
CO,MB2,12,train,15,496,train,0.00015261674756118505,0.00015261674756118505,0.15261674756118504,0.0001899367782308628,0.18993677823086277,0.0004747980094011728,0.4747980094011728,0.0006513696856222662,0.6513696856222662,1
CO,MB2,12,test,15,496,train,0.00015261674756118505,0.00016724324020488032,0.16724324020488032,0.00021817906526798152,0.2181790652679815,0.0005897673846838036,0.5897673846838036,0.0007662100833154828,0.7662100833154828,1
CO,MB2,13,train,15,498,train,9.457334628544072e-05,9.457334628544072e-05,0.09457334628544072,0.00011417132727907907,0.11417132727907907,0.0002834780527254388,0.2834780527254388,0.00041241809463116175,0.41241809463116175,1
CO,MB2,13,test,15,498,train,9.457334628544072e-05,0.00010616069412238693,0.10616069412238693,0.0001366423700361199,0.1366423700361199,0.00037856854043077925,0.37856854043077925,0.0005086698344526908,0.5086698344526908,1
CO,MB2,14,train,15,500,train,0.0006595211264584603,0.0006595211264584603,0.6595211264584603,0.0008596898418073173,0.8596898418073173,0.0021658263176121684,2.1658263176121686,0.0028482750608172513,2.8482750608172513,1
CO,MB2,14,test,15,500,train,0.0006595211264584603,0.0007490093515857258,0.7490093515857258,0.0009856367062862634,0.9856367062862634,0.0024828299108363705,2.4828299108363705,0.0031668895945891617,3.1668895945891617,1
CO,MB2,15,train,15,499,train,0.0022522627523841785,0.0022522627523841785,2.2522627523841785,0.0027123406150842107,2.712340615084211,0.005816792106787871,5.816792106787871,0.008404167777129684,8.404167777129684,1
CO,MB2,15,test,15,499,train,0.0022522627523841785,0.0023862718902444235,2.3862718902444233,0.002933475905660872,2.9334759056608717,0.0063763901085878705,6.37639010858787,0.008905462623968019,8.905462623968019,1
CO,MB2,16,train,15,481,train,0.0005064115368254925,0.0005064115368254925,0.5064115368254924,0.0006137600382613643,0.6137600382613643,0.001325898430848127,1.325898430848127,0.0018895124088890436,1.8895124088890436,1
CO,MB2,16,test,15,481,train,0.0005064115368254925,0.0005289975169647317,0.5289975169647316,0.0006555950304533443,0.6555950304533443,0.0016021641206890869,1.6021641206890869,0.002159908671074323,2.159908671074323,1
CO,MB2,17,train,15,499,train,0.00044753792782362877,0.00044753792782362877,0.4475379278236288,0.000541451412567161,0.541451412567161,0.0011577456116501628,1.1577456116501628,0.0016800942965183585,1.6800942965183585,1
CO,MB2,17,test,15,499,train,0.00044753792782362877,0.0004727339965582333,0.47273399655823334,0.0005802946560947161,0.5802946560947161,0.0014154718620910667,1.4154718620910667,0.0019325107401780839,1.9325107401780839,1
CO,MB2,18,train,15,469,train,0.0006177115709352329,0.0006177115709352329,0.6177115709352329,0.0007623695859260779,0.7623695859260778,0.0016768933947869658,1.6768933947869658,0.002305196127826842,2.305196127826842,1
CO,MB2,18,test,15,469,train,0.0006177115709352329,0.0006395769714952241,0.6395769714952241,0.0008124146077509352,0.8124146077509352,0.0020013531759255354,2.0013531759255354,0.002629292996189969,2.629292996189969,1
CO,MB2,19,train,15,496,train,6.304761932095874e-05,6.304761932095874e-05,0.06304761932095874,8.224135981729277e-05,0.08224135981729278,0.00022998565636922486,0.22998565636922486,0.0003244338540063785,0.3244338540063785,1
CO,MB2,19,test,15,496,train,6.304761932095874e-05,7.586906124193252e-05,0.07586906124193252,0.00010626505796818533,0.10626505796818533,0.0003228088100165616,0.3228088100165616,0.00041796679699690475,0.41796679699690475,1
CO,MB2,20,train,15,406,train,8.32223120247814e-05,8.32223120247814e-05,0.0832223120247814,0.00012568700336101067,0.12568700336101066,0.0003739425119036466,0.3739425119036466,0.0004776601938939473,0.4776601938939473,1
