epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,a,b,c
1,0.11424932389431379,114.24932389431379,0.1154248746051058,115.4248746051058,0.02,1,-0.14861553212696169,0.0015655875644531754,-0.0965655115606486
2,0.08215561838092929,82.15561838092928,0.08337238225973492,83.37238225973492,0.02,2,-0.17500769993351634,0.03279662061453276,-0.1296401617373952
3,0.00945465537263723,9.45465537263723,0.009322870551568633,9.322870551568633,0.02,3,-0.19645964958430095,0.06045023258985535,-0.16168907005216862
4,0.05110612875216815,51.106128752168146,0.04994794070423243,49.94794070423243,0.02,3,-0.21351850389850185,0.08259559628400322,-0.1874578090039966
5,0.052802143835021124,52.80214383502113,0.05171152793063296,51.71152793063296,0.02,3,-0.23375065745212112,0.10752977718554949,-0.21359447540684776
6,0.03022464440203108,30.224644402031082,0.029185464419019824,29.185464419019823,0.02,3,-0.25653619039172487,0.1345331213636218,-0.24127976410916158
7,0.008525732048768013,8.525732048768013,0.008313748540831917,8.313748540831917,0.02,7,-0.2780203386954592,0.15961632350225266,-0.26710016350678895
8,0.014007928071667527,14.007928071667527,0.015024891603588655,15.024891603588655,0.02,7,-0.29605005050476874,0.18057397794965094,-0.2886945572873899
9,0.024113433887753447,24.113433887753448,0.02512326650868033,25.123266508680327,0.02,7,-0.3103688435827115,0.1972418529283467,-0.3058943234947337
10,0.02553454350596673,25.53454350596673,0.026515615093855822,26.51561509385582,0.02,7,-0.32145080236052603,0.2101962461530457,-0.3193369082364007
11,0.020455142007348357,20.455142007348357,0.02138634220807597,21.38634220807597,0.02,7,-0.33007129419034276,0.22038149753858205,-0.3298245275273791
12,0.011398941621719234,11.398941621719235,0.012266489692857797,12.266489692857798,0.02,7,-0.3369283879404546,0.22864429984944787,-0.3379724626700656
13,0.005921291566714559,5.92129156671456,0.006124513640760397,6.124513640760397,0.02,13,-0.34253887111578485,0.23554674790196076,-0.3443862794519009
14,0.0081412133135188,8.1412133135188,0.0077989626745681865,7.798962674568187,0.02,13,-0.3472581393183536,0.24135117056950134,-0.34962354650557775
15,0.012706424690356901,12.7064246903569,0.011999767389413522,11.999767389413522,0.02,13,-0.351312999114118,0.2460848327936857,-0.3542870766429773
16,0.014148384934867031,14.148384934867032,0.01346235222774289,13.46235222774289,0.02,13,-0.35481793668282074,0.24971659002127003,-0.35880447444571983
17,0.01195641390346423,11.95641390346423,0.011273376096399777,11.273376096399778,0.02,13,-0.3578439448314409,0.25234439334578523,-0.36328933909191974
18,0.008042664134824537,8.042664134824536,0.0076802506421789095,7.680250642178909,0.02,13,-0.3604648289600072,0.25421907899562735,-0.36760030249251696
19,0.005488892858463578,5.488892858463578,0.0055000081203203125,5.500008120320312,0.02,19,-0.36272928447483177,0.25561361516829295,-0.37151390371683185
20,0.0054443583380912155,5.444358338091216,0.005742824005522211,5.742824005522211,0.02,20,-0.364714912375629,0.2568048512557869,-0.374808537215292
21,0.006673147379138518,6.673147379138518,0.007194323002766613,7.194323002766613,0.02,20,-0.36644953912062916,0.2579603812394841,-0.3773575139197149
22,0.007211650465933709,7.211650465933709,0.00779998259244299,7.79998259244299,0.02,20,-0.36798935482867673,0.2591935343463996,-0.3791311129847791
23,0.006534302726675965,6.534302726675965,0.00704655650314987,7.04655650314987,0.02,20,-0.36936650142404576,0.26050012650014487,-0.3802481249905005
24,0.005471476286470709,5.471476286470709,0.005831102163485682,5.831102163485682,0.02,20,-0.37059897308453366,0.26182341033209144,-0.3808851016516766
25,0.0048852469073938235,4.885246907393824,0.005082444288441023,5.082444288441023,0.02,25,-0.37172068974150535,0.2631173010603759,-0.38120110931227164
26,0.005044133478219572,5.044133478219572,0.00506655968653098,5.066559686530979,0.02,25,-0.37275053357599397,0.2642998900075836,-0.38138464480377204
27,0.005453591986403631,5.453591986403631,0.005385215348767043,5.385215348767042,0.02,25,-0.3736969688924482,0.26529014528992356,-0.381598902671548
28,0.0056541484762161935,5.654148476216194,0.005515902282795913,5.515902282795913,0.02,25,-0.3745763011035244,0.26606759015454384,-0.38191808343392236
29,0.005348942620114789,5.348942620114789,0.005286417119056059,5.286417119056059,0.02,25,-0.3753948848431361,0.2666174906432664,-0.38239330948779904
30,0.004857949915858699,4.857949915858699,0.004888503160974489,4.888503160974489,0.02,30,-0.376176855646269,0.26700662566796834,-0.38296916732174857
31,0.004564458534118169,4.564458534118169,0.0046811784494575955,4.681178449457596,0.02,31,-0.3769305135344434,0.2673391778970256,-0.38351788225134065
32,0.004517591654321039,4.517591654321039,0.0047143615316464545,4.714361531646454,0.02,32,-0.37765245069656106,0.2676976030739248,-0.3839322143549889
33,0.004502940832928828,4.502940832928828,0.004745861584480077,4.7458615844800764,0.02,33,-0.37838187341021523,0.2681972324542016,-0.38409077743488806
34,0.004415848536006112,4.415848536006112,0.004624544898145819,4.624544898145819,0.02,34,-0.37910850632051285,0.26881033820714406,-0.38403393010150827
35,0.004291846722401338,4.2918467224013375,0.004486864659161292,4.4868646591612915,0.02,35,-0.3798193910764085,0.26947813248264896,-0.38384752138364453
36,0.004265579623442541,4.265579623442541,0.0043881601798781734,4.388160179878174,0.02,36,-0.3805318221983732,0.2702002899202095,-0.38355137114625104
37,0.004285325819299452,4.285325819299452,0.00434878601818421,4.348786018184209,0.02,36,-0.3812216612836306,0.2708337767495797,-0.3833365398715256
