molecule,model,mean,sd,n,median,se,split
CO,MB1_PRIME,1.9880059724989594,2.492956986540793,32,0.6154559209855095,0.4406966975973438,train
CO,MB1_PRIME,2.0553698555349325,2.5263706589914787,32,0.6504644682644249,0.4466034561909003,test
