molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB1_PRIME,0,train,15,500,train,0.0006434176368306741,0.0006434176368306741,0.6434176368306741,0.000792085580123281,0.792085580123281,0.0017220723766216417,1.7220723766216417,0.0023824412658761396,2.38244126587614,1
CO,MB1_PRIME,0,test,15,500,train,0.0006434176368306741,0.0006658889524253771,0.665888952425377,0.0008409977592346106,0.8409977592346106,0.002062546057915282,2.062546057915282,0.0027200949859026158,2.720094985902616,1
CO,MB1_PRIME,1,train,15,424,train,0.00027023905697522627,0.00027023905697522627,0.27023905697522627,0.0003312540110325489,0.3312540110325489,0.000773851873442255,0.773851873442255,0.0010766700341812152,1.0766700341812152,1
CO,MB1_PRIME,1,test,15,424,train,0.00027023905697522627,0.0002898877326915831,0.2898877326915831,0.0003682270782048033,0.3682270782048033,0.0009532933540631339,0.9532933540631339,0.0012579530527478677,1.2579530527478677,1
CO,MB1_PRIME,2,train,15,484,train,0.00033802101309968744,0.00033802101309968744,0.33802101309968746,0.0004320241917802155,0.4320241917802155,0.001074463545651938,1.074463545651938,0.0013970037433190807,1.3970037433190807,1
CO,MB1_PRIME,2,test,15,484,train,0.00033802101309968744,0.0003622588636602327,0.3622588636602327,0.0004850561994523988,0.4850561994523988,0.0012864239349845707,1.2864239349845707,0.0016068753801813385,1.6068753801813385,1
CO,MB1_PRIME,3,train,15,486,train,0.0006779842747527909,0.0006779842747527909,0.6779842747527909,0.0010526212212186878,1.0526212212186878,0.0026163649710162495,2.6163649710162495,0.002672567178679197,2.672567178679197,1
CO,MB1_PRIME,3,test,15,486,train,0.0006779842747527909,0.0007653230711649861,0.7653230711649861,0.0011886447003571538,1.1886447003571539,0.002904940803931999,2.904940803931999,0.0029581697863156897,2.9581697863156897,1
CO,MB1_PRIME,4,train,15,498,train,0.0023923799090719527,0.0023923799090719527,2.392379909071953,0.0028977320778617414,2.8977320778617415,0.006027636878201792,6.0276368782017915,0.00890794362892755,8.907943628927551,1
CO,MB1_PRIME,4,test,15,498,train,0.0023923799090719527,0.0025164545754096323,2.5164545754096324,0.003103514664090182,3.103514664090182,0.0065224709774163725,6.522470977416372,0.009236566307186389,9.23656630718639,1
CO,MB1_PRIME,5,train,15,498,train,0.0006585239209945285,0.0006585239209945285,0.6585239209945285,0.0009124515663285113,0.9124515663285113,0.002306099328793554,2.306099328793554,0.0027670067611430538,2.7670067611430538,1
CO,MB1_PRIME,5,test,15,498,train,0.0006585239209945285,0.0007482354361553996,0.7482354361553997,0.0010390723683433183,1.0390723683433183,0.0025861412967183584,2.5861412967183584,0.0030498740937612567,3.0498740937612565,1
CO,MB1_PRIME,6,train,15,385,train,0.00028134761099643155,0.00028134761099643155,0.2813476109964316,0.00034834522563238,0.34834522563237996,0.0008457116414521682,0.8457116414521682,0.0011671776107593512,1.1671776107593512,1
CO,MB1_PRIME,6,test,15,385,train,0.00028134761099643155,0.0003060311929384163,0.3060311929384163,0.00039357260632659344,0.39357260632659347,0.001039208043639328,1.039208043639328,0.0013603954317198685,1.3603954317198685,1
CO,MB1_PRIME,7,train,15,486,train,0.008649499959143317,0.008649499959143317,8.649499959143316,0.010008113725710043,10.008113725710043,0.016857461155945885,16.857461155945884,0.03240191424310018,32.40191424310018,1
CO,MB1_PRIME,7,test,15,486,train,0.008649499959143317,0.008769193512929123,8.769193512929123,0.010159336105317718,10.159336105317717,0.018094876412825006,18.094876412825005,0.03255976173986247,32.559761739862466,1
CO,MB1_PRIME,8,train,15,439,train,0.00027793302427265486,0.00027793302427265486,0.27793302427265487,0.00033968985805048766,0.3396898580504877,0.0007836434285518057,0.7836434285518057,0.00110234178450766,1.10234178450766,1
CO,MB1_PRIME,8,test,15,439,train,0.00027793302427265486,0.00029833412121922734,0.29833412121922737,0.0003759337477872012,0.3759337477872012,0.0009652861887516073,0.9652861887516073,0.0012844448187359359,1.2844448187359359,1
CO,MB1_PRIME,9,train,15,500,train,0.0028023428263950507,0.0028023428263950507,2.8023428263950505,0.0034205985874614835,3.4205985874614835,0.007072949263482037,7.072949263482037,0.010311695883938737,10.311695883938738,1
CO,MB1_PRIME,9,test,15,500,train,0.0028023428263950507,0.002961059948019584,2.9610599480195843,0.003660445755680711,3.660445755680711,0.00761347226848072,7.61347226848072,0.010636281519495527,10.636281519495528,1
CO,MB1_PRIME,10,train,15,496,train,0.0002274252067442306,0.0002274252067442306,0.2274252067442306,0.00031414270168453134,0.31414270168453134,0.0008256280917990633,0.8256280917990633,0.0010631310893276236,1.0631310893276236,1
CO,MB1_PRIME,10,test,15,496,train,0.0002274252067442306,0.00025310360072160475,0.25310360072160476,0.0003620542561108378,0.3620542561108378,0.0009533790711185874,0.9533790711185874,0.001163925143771255,1.163925143771255,1
CO,MB1_PRIME,11,train,15,500,train,0.005728977536728194,0.005728977536728194,5.728977536728194,0.006639782786635828,6.639782786635828,0.01173073675698863,11.73073675698863,0.02146710235367094,21.467102353670942,1
CO,MB1_PRIME,11,test,15,500,train,0.005728977536728194,0.005832661985301498,5.832661985301498,0.006809964725937143,6.809964725937143,0.012608369348734827,12.608369348734827,0.021662123672304745,21.662123672304745,1
CO,MB1_PRIME,12,train,15,500,train,0.003246099886589719,0.003246099886589719,3.246099886589719,0.0037407109655509634,3.740710965550963,0.00679842694545002,6.79842694545002,0.012013033686536112,12.013033686536112,1
CO,MB1_PRIME,12,test,15,500,train,0.003246099886589719,0.0033330080842587134,3.3330080842587133,0.0038814807440276317,3.8814807440276318,0.007454493921587729,7.454493921587729,0.012444598781348015,12.444598781348015,1
CO,MB1_PRIME,13,train,15,496,train,0.0003301155852537226,0.0003301155852537226,0.33011558525372264,0.00047722956610487697,0.477229566104877,0.0013021848821954118,1.3021848821954118,0.0015682263894500892,1.5682263894500892,1
