epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
1,0.014812012665760542,14.812012665760541,0.015652519929803443,15.652519929803443,0.02,1,-0.0906682381015973,-0.05846903620707759
2,0.03837607620907604,38.37607620907605,0.03802949721378055,38.02949721378055,0.02,1,-0.12191794340429131,-0.09803926650703679
3,0.04071635617453273,40.716356174532734,0.04042754154246387,40.42754154246387,0.02,1,-0.15456167901274218,-0.129672216435791
4,0.0221865397925906,22.186539792590597,0.021880014427904614,21.880014427904616,0.02,1,-0.18811486155469184,-0.1635300082647247
5,0.007605891567132947,7.6058915671329475,0.005941650910694185,5.941650910694185,0.02,5,-0.21707156184442616,-0.19469328089473645
6,0.022783997829349804,22.783997829349804,0.021628974114757105,21.628974114757106,0.02,5,-0.2409172321979124,-0.22122275306520842
7,0.02540333901870877,25.40333901870877,0.024692696880651236,24.692696880651237,0.02,5,-0.26180094964722983,-0.2476903689570183
8,0.02067424456643004,20.67424456643004,0.019761680744498626,19.761680744498626,0.02,5,-0.28031827198407394,-0.2751602997919134
9,0.010165851393472269,10.165851393472268,0.009168502343886912,9.168502343886912,0.02,5,-0.29597142548637906,-0.3019203515831803
10,0.0069002702048114855,6.900270204811486,0.0058710882177847225,5.871088217784722,0.02,10,-0.30845757950198777,-0.32394332232928885
11,0.012205640596042766,12.205640596042766,0.01165640092138109,11.65640092138109,0.02,10,-0.319518744829914,-0.34232492009594206
12,0.014779779661234624,14.779779661234624,0.014703050753409112,14.703050753409112,0.02,10,-0.33161946163361944,-0.3601842033056982
13,0.013308389297621048,13.308389297621048,0.013043379794527243,13.043379794527244,0.02,10,-0.34421445200681716,-0.37913526446356277
14,0.00837432405111401,8.374324051114009,0.007782334591288739,7.7823345912887385,0.02,10,-0.35650284505125535,-0.39857944194912975
15,0.00526624110832881,5.26624110832881,0.004637615872826421,4.637615872826421,0.02,15,-0.3678060405631156,-0.4155618628141679
16,0.006729903318447335,6.729903318447335,0.006475593242528265,6.475593242528265,0.02,15,-0.3776456742608296,-0.4289652757183768
17,0.008496770270630132,8.496770270630131,0.008471607752331555,8.471607752331556,0.02,15,-0.38574145442705504,-0.44084684583512385
18,0.008655804275241123,8.655804275241122,0.008310773414917608,8.310773414917607,0.02,15,-0.3927505346725332,-0.45257430244103725
