molecule,column_index,min,max,span,training_std,pearson_geometry_coordinate,pearson_geometry_index,pearson_E_corr,turning_points,interpolated_branch_spread_Ha
LiH,3,0.02477415965048326,0.03020492195201857,0.005430762301535309,0.0017063546860485032,0.9991886342139793,0.9991886342139793,-0.983148970096797,0,0.0
BeH2,3,0.00982694662093019,0.01818082484297734,0.008353878222047148,0.0025320140366633806,0.9958505485091225,0.9958505485091225,-0.9830230954991876,0,0.0
H2O,1,0.0031620706525639086,0.004017510702164939,0.0008554400496010306,0.00025999220779388763,-0.9899250598755892,-0.9899250598755894,0.9968708811616313,0,0.0
NH3,2,0.0070965355960947996,0.0074113357019898185,0.00031480010589501894,8.749703005637902e-05,-0.34922790685417704,-0.3492279068541771,0.399544403597635,1,0.02622698848402147
N2,2,0.004713738862327288,0.005759053179615448,0.0010453143172881596,0.0003272186131125773,0.9740416416986103,0.9740416416986101,-0.9679548830433994,0,0.0
CO,2,0.0051950521266224126,0.006369782518254485,0.0011747303916320728,0.0003676539989454187,0.9746451485690133,0.9746451485690136,-0.9703144807701569,0,0.0
HF,0,0.0011198800515978696,0.001880248800040608,0.0007603687484427383,0.00023087172782227834,-0.9994128415200524,-0.9994128415200522,0.9979949615193762,0,0.0
H2O2,1,0.0019792168352304827,0.0020056354664610395,2.6418631230556815e-05,7.926397629250762e-06,0.9900922417052891,0.9900922417052893,-0.9808309986674617,0,0.0
H2O2,2,0.004276623763758443,0.005651878323750931,0.0013752545599924884,0.0004130143129930447,-0.9996961062781629,-0.999696106278163,0.9967979988831476,0,0.0
