model,seed,train_MAE,test_MAE,test_MAE_minus_matched_baseline
MB2,0,106.56599749069628,107.53907382702191,0.0
MB2_flip_0,0,106.56355388610295,107.53659647678883,-0.0024773502330788233
MB2_flip_01,0,106.56437811836828,107.53744730693228,-0.0016265200896299348
MB2_flip_012,0,106.56583033214892,107.53894177501856,-0.0001320520033516459
MB2_flip_0123,0,106.56795741310057,107.54106841306402,0.0019945860421159978
MB2_flip_01234,0,106.5661592410502,107.53927092243667,0.00019709541476231607
