molecule,geom_index,bond_length_angstrom,E_RHF_Ha,E_FCI_frozen_core_Ha,E_corr_Ha,E_corr_mHa,E_corr_over_1p6_mHa,RHF_within_1p6_mHa_of_FCI
BeH2,10,1.2464909003306368,-15.559620970821877,-15.591043308422766,-0.03142233760088864,-31.42233760088864,-19.638961000555398,False
BeH2,11,1.2562792382567176,-15.560317980134364,-15.592087485678482,-0.031769505544117393,-31.769505544117393,-19.85594096507337,False
BeH2,12,1.2660675761827982,-15.560831257742734,-15.592957067971936,-0.03212581022920169,-32.12581022920169,-20.078631393251055,False
BeH2,13,1.275855914108879,-15.561167319644214,-15.593658596809815,-0.03249127716560096,-32.49127716560096,-20.3070482285006,False
BeH2,14,1.2856442520349596,-15.561332445642943,-15.594198382823256,-0.032865937180313054,-32.865937180313054,-20.541210737695657,False
BeH2,15,1.2954325899610404,-15.561332688457734,-15.594582514682315,-0.033249826224581724,-33.249826224581724,-20.781141390363576,False
BeH2,16,1.305220927887121,-15.561173882483494,-15.594816867670488,-0.03364298518699371,-33.64298518699371,-21.02686574187107,False
BeH2,17,1.3150092658132018,-15.56086165222222,-15.594907111934788,-0.03404545971256745,-34.04545971256745,-21.278412320354654,False
BeH2,18,1.3247976037392823,-15.560401420398719,-15.594858720426998,-0.03445730002827929,-34.45730002827929,-21.535812517674557,False
BeH2,19,1.3345859416653632,-15.559798415774997,-15.594676976549398,-0.034878560774400214,-34.87856077440021,-21.79910048400013,False
BeH2,20,1.3443742795914437,-15.559057680675737,-15.594366981517805,-0.035309300842067515,-35.309300842067515,-22.068313026292195,False
BeH2,21,1.3541626175175245,-15.558184078236124,-15.593933661452617,-0.03574958321649291,-35.74958321649291,-22.343489510308068,False
BeH2,22,1.3639509554436051,-15.557182299382854,-15.593381774208948,-0.03619947482609476,-36.19947482609476,-22.624671766309223,False
BeH2,23,1.373739293369686,-15.556056869558212,-15.592715915955672,-0.036659046397460315,-36.659046397460315,-22.911903998412697,False
BeH2,24,1.3835276312957665,-15.5548121551961,-15.591940527511433,-0.03712837231533328,-37.12837231533328,-23.2052326970833,False
BeH2,25,1.3933159692218473,-15.553452369958205,-15.591059900446902,-0.037607530488697805,-37.607530488697805,-23.504706555436126,False
BeH2,26,1.4031043071479279,-15.55198158073863,-15.590078182960184,-0.038096602221553866,-38.096602221553866,-23.810376388471166,False
BeH2,27,1.4128926450740087,-15.55040371344415,-15.588999385533313,-0.03859567208916381,-38.59567208916381,-24.12229505572738,False
BeH2,28,1.4226809830000895,-15.548722558557305,-15.5878273863765,-0.039104827819194554,-39.104827819194554,-24.440517386996596,False
BeH2,29,1.43246932092617,-15.546941776488701,-15.586565936666345,-0.039624160177643475,-39.624160177643475,-24.76510011102717,False
H2O,0,0.8766819816463665,-74.93059529602398,-74.97135203056487,-0.040756734540892126,-40.756734540892126,-25.47295908805758,False
H2O,1,0.8844562709387033,-74.93578587880853,-74.97737794260345,-0.04159206379492275,-41.59206379492275,-25.99503987182672,False
H2O,2,0.8922305602310401,-74.94049097171276,-74.98293339754181,-0.042442425829051444,-42.442425829051444,-26.526516143157153,False
H2O,3,0.9000048495233768,-74.94473168236937,-74.98803974292127,-0.043308060551908056,-43.308060551908056,-27.067537844942535,False
H2O,4,0.9077791388157136,-74.94852811124593,-74.9927173170098,-0.04418920576387109,-44.18920576387109,-27.61825360241943,False
H2O,5,0.9155534281080504,-74.95189941102619,-74.99698550796941,-0.04508609694322274,-45.08609694322274,-28.178810589514214,False
H2O,6,0.9233277174003872,-74.95486384231535,-75.00086280934615,-0.045998967030797644,-45.998967030797644,-28.749354394248527,False
H2O,7,0.9311020066927239,-74.95743882584242,-75.0043668720561,-0.04692804621367941,-46.92804621367941,-29.33002888354963,False
H2O,8,0.9388762959850607,-74.95964099132408,-75.00751455303545,-0.047873561711369916,-47.873561711369916,-29.920976069606198,False
H2O,9,0.9466505852773975,-74.96148622315772,-75.01032196072117,-0.04883573756345072,-48.83573756345072,-30.5223359771567,False
H2O,10,0.9544248745697343,-74.96298970310141,-75.01280449752319,-0.04981479442177772,-49.81479442177772,-31.134246513611075,False
H2O,11,0.962199163862071,-74.96416595010471,-75.01497689945148,-0.05081094934676855,-50.81094934676855,-31.756843341730345,False
H2O,12,0.9699734531544079,-74.96502885743963,-75.0168532730502,-0.05182441561056805,-51.82441561056805,-32.39025975660503,False
H2O,13,0.9777477424467447,-74.96559172728891,-75.01844712979607,-0.05285540250716281,-52.85540250716281,-33.034626566976755,False
H2O,14,0.9855220317390815,-74.96586730293654,-75.01977141810828,-0.05390411517173277,-53.90411517173277,-33.69007198233298,False
H2O,15,0.9932963210314183,-74.96586779870815,-75.0208385531163,-0.054970754408159905,-54.970754408159905,-34.35672150509994,False
H2O,16,1.001070610323755,-74.96560492779813,-75.02166044432774,-0.05605551652961083,-56.05551652961083,-35.03469783100677,False
H2O,17,1.0088448996160917,-74.96508992812328,-75.02224852133206,-0.057158593208782804,-57.158593208782804,-35.72412075548925,False
H2O,18,1.0166191889084286,-74.96433358633298,-75.02261375767532,-0.05828017134233221,-58.28017134233221,-36.42510708895763,False
H2O,19,1.0243934782007653,-74.96334626010272,-75.02276669303025,-0.0594204329275243,-59.4204329275243,-37.13777057970269,False
H2O,20,1.0321677674931022,-74.96213789883434,-75.02271745378934,-0.060579554954998116,-60.579554954998116,-37.86222184687382,False
H2O,21,1.039942056785439,-74.96071806288045,-75.02247577219538,-0.061757709314932185,-61.757709314932185,-38.598568321832616,False
H2O,22,1.0477163460777756,-74.95909594140201,-75.02205100412218,-0.06295506272016382,-62.95506272016382,-39.34691420010239,False
H2O,23,1.0554906353701126,-74.95728036897134,-75.02145214561503,-0.06417177664368978,-64.17177664368978,-40.107360402306114,False
H2O,24,1.0632649246624493,-74.95527984101592,-75.02068784829062,-0.06540800727469787,-65.40800727469787,-40.880004546686166,False
H2O,25,1.0710392139547862,-74.95310252820339,-75.01976643369376,-0.0666639054903726,-66.6639054903726,-41.664940931482874,False
H2O,26,1.0788135032471229,-74.95075628985705,-75.01869590670067,-0.06793961684361705,-67.93961684361705,-42.46226052726065,False
H2O,27,1.0865877925394596,-74.94824868648703,-75.01748396805593,-0.06923528156889347,-69.23528156889347,-43.27205098055842,False
H2O,28,1.0943620818317965,-74.9455869915157,-75.01613802611983,-0.07055103460413648,-70.55103460413648,-44.0943966275853,False
H2O,29,1.1021363711241332,-74.94277820227626,-75.01466520790464,-0.07188700562838335,-71.88700562838335,-44.92937851773959,False
NH3,0,0.9376456348042379,-55.42410414541763,-55.4798471616497,-0.05574301623207134,-55.74301623207134,-34.83938514504459,False
NH3,1,0.9441888816154034,-55.428621757693755,-55.48519224149564,-0.056570483801884563,-56.57048380188456,-35.35655237617785,False
