molecule,N_geometry,min_E_corr_Ha,min_E_corr_mHa,geom_index_at_min,max_E_corr_Ha,max_E_corr_mHa,geom_index_at_max,span_Ha,span_mHa,span_over_1p6_mHa,span_within_1p6_mHa,N_within_1p6_mHa,N_outside_1p6_mHa,all_30_within_1p6_mHa
LiH,30,-0.023304518423664433,-23.304518423664433,29,-0.01676091137720448,-16.76091137720448,0,0.006543607046459954,6.543607046459954,4.089754404037471,False,0,30,False
BeH2,30,-0.039624160177643475,-39.624160177643475,29,-0.028451787357830938,-28.451787357830938,0,0.011172372819812537,11.172372819812537,6.982733012382836,False,0,30,False
H2O,30,-0.07188700562838335,-71.88700562838335,29,-0.040756734540892126,-40.756734540892126,0,0.031130271087491224,31.130271087491224,19.456419429682015,False,0,30,False
NH3,30,-0.0851479834962916,-85.1479834962916,29,-0.05574301623207134,-55.74301623207134,0,0.02940496726422026,29.40496726422026,18.378104540137663,False,0,30,False
N2,30,-0.19182993769001655,-191.82993769001655,29,-0.14576392300713792,-145.76392300713792,0,0.04606601468287863,46.06601468287863,28.791259176799144,False,0,30,False
CO,30,-0.15983187917548491,-159.83187917548491,29,-0.12587041556918166,-125.87041556918166,0,0.033961463606303255,33.961463606303255,21.225914753939534,False,0,30,False
HF,30,-0.043941710281572455,-43.941710281572455,29,-0.018163112988929697,-18.163112988929697,0,0.025778597292642758,25.778597292642758,16.111623307901723,False,0,30,False
H2S,30,-0.053204035543672035,-53.204035543672035,29,-0.03316789599961112,-33.16789599961112,0,0.020036139544060916,20.036139544060916,12.522587215038072,False,0,30,False
H2O2,30,-0.11822528636662355,-118.22528636662355,29,-0.0965324125695588,-96.5324125695588,0,0.02169287379706475,21.69287379706475,13.558046123165468,False,0,30,False
