epoch,train_mae_ha,train_mae_mha
1,0.14396974913377275,143.96974913377275
2,0.051386085515029836,51.38608551502983
3,0.05633132978666273,56.33132978666273
4,0.0721300688693526,72.1300688693526
5,0.04042585193621376,40.42585193621376
6,0.010575931207529757,10.575931207529758
7,0.01478167306669299,14.78167306669299
8,0.025763570838545333,25.763570838545334
9,0.02966138860206312,29.66138860206312
10,0.027912915008819438,27.91291500881944
11,0.022469288206835483,22.469288206835483
12,0.015134769535379951,15.134769535379952
13,0.010078602041875852,10.078602041875852
14,0.00891791916278471,8.91791916278471
15,0.01040304584334422,10.40304584334422
16,0.012628312179250012,12.628312179250011
17,0.013737571262073558,13.737571262073558
18,0.013324567806636264,13.324567806636264
19,0.011818823303763801,11.818823303763802
20,0.010002506773626732,10.002506773626731
21,0.008898583168276575,8.898583168276575
22,0.00883601053315555,8.83601053315555
23,0.009300743223005729,9.300743223005728
24,0.009743174410247976,9.743174410247976
25,0.009814047037935673,9.814047037935673
26,0.009533656991622706,9.533656991622706
27,0.009128746274323888,9.128746274323888
28,0.008803720973311472,8.803720973311473
29,0.008705195437440427,8.705195437440427
30,0.008796540665289957,8.796540665289957
31,0.008835882823552051,8.835882823552051
32,0.008876268952751338,8.876268952751337
33,0.008833724990176404,8.833724990176403
34,0.00876334660370463,8.76334660370463
35,0.008686410179483893,8.686410179483893
36,0.008703713406497247,8.703713406497247
37,0.008747138101516692,8.747138101516692
38,0.008763998513616856,8.763998513616857
39,0.00873827993176949,8.73827993176949
40,0.008703022077197515,8.703022077197515
41,0.00866209341401836,8.66209341401836
42,0.008642771111908237,8.642771111908237
43,0.008658534032612287,8.658534032612287
44,0.008651352404966655,8.651352404966655
45,0.00864633196821386,8.64633196821386
46,0.008629060653572532,8.629060653572532
47,0.008642407465490777,8.642407465490777
48,0.008627518983602703,8.627518983602704
49,0.008628434158463571,8.628434158463572
50,0.008622014399298135,8.622014399298136
51,0.008610230995436731,8.610230995436732
52,0.008599238752076115,8.599238752076115
53,0.008591358906298783,8.591358906298783
54,0.008606964552364297,8.606964552364296
55,0.008619930865069337,8.619930865069337
56,0.008603322575273407,8.603322575273408
57,0.00858968720838258,8.58968720838258
58,0.008566520270272097,8.566520270272097
59,0.008576385376651886,8.576385376651885
60,0.00855710880399252,8.55710880399252
61,0.008565320938553509,8.565320938553509
62,0.008563789272442997,8.563789272442998
