epoch,train_mae_ha,train_mae_mha
1,0.06354555100776076,63.54555100776076
2,0.052324631632680925,52.324631632680926
3,0.05103969310539888,51.03969310539888
4,0.012305548523014043,12.305548523014043
5,0.01853363574323153,18.53363574323153
6,0.030715691611066614,30.715691611066614
7,0.03012265331206989,30.12265331206989
8,0.02114555605077361,21.14555605077361
9,0.010790494427381543,10.790494427381542
10,0.00896323476538686,8.96323476538686
11,0.013342866714084594,13.342866714084593
12,0.016807893635683586,16.807893635683588
13,0.01588961654965417,15.889616549654171
14,0.012224603080908537,12.224603080908537
15,0.00900042141934655,9.00042141934655
16,0.008470466858849383,8.470466858849383
17,0.00983203628484756,9.83203628484756
18,0.010905166696876844,10.905166696876844
19,0.010549589868445843,10.549589868445842
20,0.009278736396012555,9.278736396012555
21,0.008350959140247981,8.350959140247982
22,0.00832655049532854,8.32655049532854
23,0.008826107921040958,8.826107921040958
24,0.008962067092773446,8.962067092773445
25,0.008692994088386117,8.692994088386117
26,0.008309001680664074,8.309001680664073
27,0.008147888957934396,8.147888957934395
28,0.008259705757235525,8.259705757235524
29,0.008484097737600196,8.484097737600196
30,0.008513127569622848,8.513127569622847
31,0.008321948137426866,8.321948137426865
32,0.008129829208060817,8.129829208060817
33,0.008132974436334765,8.132974436334765
34,0.00818697530966953,8.186975309669531
35,0.008176662441737197,8.176662441737196
36,0.008119843926754692,8.119843926754692
37,0.008021083635616922,8.021083635616922
38,0.00806009902967755,8.06009902967755
39,0.008076491577371721,8.076491577371721
40,0.008055637077336851,8.05563707733685
41,0.00803856242703238,8.038562427032382
42,0.007991215160905191,7.991215160905192
43,0.007952726662841142,7.952726662841141
44,0.007937531567751921,7.937531567751921
45,0.007919414140268095,7.9194141402680955
46,0.007909580207568847,7.909580207568847
47,0.007898805094694475,7.898805094694475
48,0.007879256651253995,7.8792566512539945
49,0.007899684062194483,7.899684062194483
50,0.007891171455605141,7.891171455605141
51,0.007865428186891585,7.8654281868915845
52,0.007843612810918969,7.843612810918969
53,0.00783067899924485,7.830678999244851
54,0.007800850103463989,7.800850103463989
55,0.007783568120837579,7.783568120837579
56,0.0077808520591741296,7.78085205917413
57,0.007759334012903624,7.759334012903624
58,0.007751191366284769,7.751191366284769
59,0.007730166958689588,7.730166958689588
60,0.00772149789789455,7.72149789789455
61,0.007713034641812938,7.713034641812938
62,0.00770027870933002,7.70027870933002
63,0.007685356460939422,7.685356460939422
64,0.007704336619518113,7.704336619518113
65,0.007698436034668075,7.698436034668076
66,0.00765339339521758,7.65339339521758
67,0.0076330862975979,7.633086297597901
68,0.007595558591772091,7.595558591772091
69,0.007611464341268611,7.6114643412686105
70,0.007589533824667932,7.589533824667932
71,0.007576690770027916,7.576690770027916
72,0.0075380901882039514,7.5380901882039515
73,0.007543700949159088,7.543700949159088
74,0.007560669223928066,7.560669223928066
75,0.00752406674182842,7.52406674182842
76,0.007497293633706361,7.497293633706361
77,0.007467104276195445,7.467104276195444
78,0.007448188869181066,7.448188869181066
79,0.007434339356234523,7.434339356234522
80,0.007408820742016148,7.4088207420161485
81,0.007423482702602061,7.423482702602061
82,0.0074047922380227225,7.404792238022723
83,0.007371202778512248,7.371202778512248
84,0.007339993297966061,7.339993297966061
85,0.007321141502337283,7.321141502337283
86,0.007306919896992178,7.306919896992178
87,0.007299619455106558,7.299619455106558
88,0.007308672116673762,7.308672116673762
89,0.007295276918640085,7.295276918640085
90,0.007293550590171903,7.293550590171903
91,0.007229119507114525,7.2291195071145244
92,0.007203122670687257,7.203122670687256
93,0.007211540022952627,7.211540022952627
94,0.00721129247728031,7.21129247728031
95,0.007145976921001888,7.145976921001887
96,0.007126391687531022,7.126391687531022
