molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,FE_prime,24,train,15,490,train,0.0023806646726451017,0.0023806646726451017,2.3806646726451017,0.0035629427345391833,3.5629427345391833,0.007562243749951375,7.562243749951375,0.014585785442371518,14.585785442371519,1
CO,FE_prime,24,test,15,490,train,0.0023806646726451017,0.003364550111810416,3.364550111810416,0.004854613137543743,4.854613137543743,0.012546508957334446,12.546508957334446,0.02209956352778497,22.099563527784973,1
