molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,FG,0,train,15,140,train,0.004279643195565291,0.004279643195565291,4.279643195565291,0.0051607122603201435,5.160712260320143,0.010386835804272326,10.386835804272327,0.019273780606288593,19.273780606288593,1
CO,FG,0,test,15,140,train,0.004279643195565291,0.004587417032537814,4.5874170325378145,0.005597155429325363,5.597155429325363,0.011013442871030066,11.013442871030065,0.020274748731263864,20.274748731263863,1
CO,FE,0,train,15,499,train,0.0021763181444326225,0.0021763181444326225,2.1763181444326225,0.00295875028721501,2.95875028721501,0.006555650791671919,6.555650791671919,0.012733925342834573,12.733925342834574,1
CO,FE,0,test,15,499,train,0.0021763181444326225,0.0022498498226694954,2.2498498226694954,0.003016519597933282,3.0165195979332817,0.008115778160479287,8.115778160479287,0.011761730702979922,11.761730702979921,1
CO,MB-1,0,train,15,500,train,0.0005856262919960424,0.0005856262919960424,0.5856262919960423,0.000712307212749392,0.712307212749392,0.0015140554571522469,1.5140554571522469,0.0021632075250952176,2.163207525095218,1
CO,MB-1,0,test,15,500,train,0.0005856262919960424,0.0006117110747355399,0.61171107473554,0.0007560315755601749,0.756031575560175,0.0018352335094314332,1.8352335094314332,0.0024751249021988664,2.4751249021988664,1
CO,FG,1,train,15,171,train,0.004125675309339353,0.004125675309339353,4.1256753093393534,0.005051572907970186,5.051572907970185,0.010235516241536902,10.235516241536901,0.01934253033663441,19.34253033663441,1
CO,FG,1,test,15,171,train,0.004125675309339353,0.0045897280221698315,4.589728022169831,0.005662788891395315,5.662788891395316,0.01269633783009505,12.69633783009505,0.021288442065691887,21.288442065691886,1
CO,FG,2,train,15,434,train,0.00217660615743398,0.00217660615743398,2.17660615743398,0.0026918245874694787,2.691824587469479,0.005398023088962034,5.398023088962034,0.010588702376167436,10.588702376167436,1
CO,FG,2,test,15,434,train,0.00217660615743398,0.0023037424527287,2.3037424527287,0.00286123548748968,2.86123548748968,0.006437220121186388,6.437220121186388,0.009911402762197458,9.911402762197458,1
CO,FG,3,train,15,472,train,0.0021209113115920144,0.0021209113115920144,2.1209113115920144,0.0027661839592252307,2.7661839592252306,0.006864106495379857,6.864106495379857,0.011358377719973445,11.358377719973445,1
CO,FG,3,test,15,472,train,0.0021209113115920144,0.0021520095207466857,2.152009520746686,0.0027271190556947046,2.7271190556947045,0.005899525029683633,5.899525029683633,0.010552861829990573,10.552861829990572,1
CO,FG,4,train,15,386,train,0.004164069991383621,0.004164069991383621,4.164069991383621,0.005097565460689825,5.097565460689825,0.010566288922012668,10.566288922012667,0.01914840077383026,19.14840077383026,1
