model,seed,mae_mHa,molecule,split
FG,30,4.868911841380128,ALL,test
FG,31,2.27466217797521,ALL,test
MB-1,0,0.61171107473554,ALL,test
MB-1,1,0.538598053701215,ALL,test
MB-1,2,0.7070302771747934,ALL,test
MB-1,3,0.5541571121891815,ALL,test
MB-1,4,0.611370424324816,ALL,test
MB-1,5,0.6966266589701323,ALL,test
MB-1,6,0.6011630275952917,ALL,test
MB-1,7,7.045134452597335,ALL,test
MB-1,8,0.5498440763403389,ALL,test
MB-1,9,0.7002494163370694,ALL,test
MB-1,10,0.5769384755294649,ALL,test
MB-1,11,0.7809714994042187,ALL,test
MB-1,12,0.623959203225366,ALL,test
MB-1,13,0.6926753780084985,ALL,test
MB-1,14,0.8212515659953586,ALL,test
MB-1,15,2.357776911239884,ALL,test
MB-1,16,0.6164911132838772,ALL,test
MB-1,17,0.5450367558974971,ALL,test
MB-1,18,0.6390036081191911,ALL,test
MB-1,19,0.5924539445318159,ALL,test
MB-1,20,2.3179083145077013,ALL,test
MB-1,21,0.22304178311871037,ALL,test
MB-1,22,0.494843884151817,ALL,test
MB-1,23,0.4925069463897868,ALL,test
MB-1,24,0.8371734307111578,ALL,test
MB-1,25,0.5291420191404494,ALL,test
MB-1,26,0.6678402139322432,ALL,test
MB-1,27,0.554998944989854,ALL,test
MB-1,28,2.8593104340349655,ALL,test
MB-1,29,0.6542366107284074,ALL,test
MB-1,30,2.4791655970750983,ALL,test
MB-1,31,0.5155368884029898,ALL,test
