molecule,model,mean,sd,n,median,se,split
ALL,MB2,20.980399010515537,,1,20.980399010515537,,train
ALL,MB2_prime,20.980112908342285,,1,20.980112908342285,,train
ALL,MB2,21.946388324699758,,1,21.946388324699758,,test
ALL,MB2_prime,21.946143748851494,,1,21.946143748851494,,test
