molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,FE,12,train,15,475,train,0.001851250033397822,0.001851250033397822,1.8512500333978221,0.0024647097170330313,2.464709717033031,0.006134235005700678,6.134235005700678,0.009757519152337968,9.757519152337968,1
CO,FE,12,test,15,475,train,0.001851250033397822,0.002211378764065249,2.211378764065249,0.0029288366668949535,2.9288366668949535,0.007724663327624309,7.7246633276243095,0.011295631413625523,11.295631413625523,1
