molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,FG,4,train,15,386,train,0.004164069991383621,0.004164069991383621,4.164069991383621,0.005097565460689825,5.097565460689825,0.010566288922012668,10.566288922012667,0.01914840077383026,19.14840077383026,1
CO,FG,4,test,15,386,train,0.004164069991383621,0.004504523957461047,4.504523957461047,0.005545812719861485,5.545812719861486,0.010955543281284452,10.955543281284452,0.02065482835724236,20.654828357242362,1
